Tennessee, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,95,17
189605,17,-61
189705,119,41
189805,37,-41
189905,26,-52
190005,71,-7
190105,90,12
190205,22,-56
190305,54,-24
190405,85,7
190505,35,-43
190605,70,-8
190705,125,47
190805,54,-24
190905,91,13
191005,124,46
191105,37,-41
191205,59,-19
191305,64,-14
191405,65,-13
191505,44,-34
191605,38,-40
191705,179,101
191805,34,-44
191905,92,14
192005,79,1
192105,78,0
192205,54,-24
192305,101,23
192405,155,77
192505,117,39
192605,67,-11
192705,54,-24
192805,97,19
192905,82,4
193005,61,-17
193105,113,35
193205,77,-1
193305,28,-50
193405,53,-25
193505,72,-6
193605,36,-42
193705,63,-15
193805,61,-17
193905,72,-6
194005,122,44
194105,41,-37
194205,67,-11
194305,41,-37
194405,32,-46
194505,126,48
194605,101,23
194705,107,29
194805,83,5
194905,57,-21
195005,38,-40
195105,81,3
195205,61,-17
195305,33,-45
195405,158,80
195505,41,-37
195605,45,-33
195705,51,-27
195805,69,-9
195905,34,-44
196005,117,39
196105,134,56
196205,16,-62
196305,80,2
196405,55,-23
196505,34,-44
196605,103,25
196705,114,36
196805,97,19
196905,72,-6
197005,58,-20
197105,138,60
197205,91,13
197305,132,54
197405,63,-15
197505,42,-36
197605,157,79
197705,44,-34
197805,93,15
197905,94,16
198005,83,5
198105,130,52
198205,38,-40
198305,114,36
198405,123,45
198505,69,-9
198605,59,-19
198705,24,-54
198805,99,21
198905,130,52
199005,105,27
199105,28,-50
199205,117,39
199305,82,4
199405,143,65
199505,72,-6
199605,45,-33
199705,153,75
199805,35,-43
199905,78,0
200005,41,-37
200105,62,-16
200205,103,25
200305,67,-11
200405,29,-49
200505,119,41
200605,90,12
200705,43,-35
200805,93,15
200905,69,-9
201005,37,-41
201105,78,0
201205,26,-52
201305,89,11
201405,58,-20
201505,47,-31
