South Dakota, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1468,214
189602,1130,-124
189702,1385,131
189802,1172,-82
189902,1670,416
190002,1445,191
190102,1387,133
190202,1329,75
190302,1499,245
190402,1509,255
190502,1491,237
190602,1227,-27
190702,1192,-62
190802,1231,-23
190902,1280,26
191002,1502,248
191102,1279,25
191202,1294,40
191302,1418,164
191402,1501,247
191502,1189,-65
191602,1348,94
191702,1524,270
191802,1290,36
191902,1361,107
192002,1214,-40
192102,1044,-210
192202,1552,298
192302,1384,130
192402,1156,-98
192502,1129,-125
192602,1039,-215
192702,1116,-138
192802,1146,-108
192902,1564,310
193002,929,-325
193102,924,-330
193202,1229,-25
193302,1385,131
193402,1113,-141
193502,993,-261
193602,1932,678
193702,1394,140
193802,1311,57
193902,1523,269
194002,1258,4
194102,1275,21
194202,1260,6
194302,1110,-144
194402,1300,46
194502,1199,-55
194602,1170,-84
194702,1374,120
194802,1364,110
194902,1443,189
195002,1263,9
195102,1141,-113
195202,1141,-113
195302,1199,-55
195402,823,-431
195502,1422,168
195602,1396,142
195702,1178,-76
195802,1332,78
195902,1403,149
196002,1417,163
196102,1119,-135
196202,1330,76
196302,1173,-81
196402,1117,-137
196502,1321,67
196602,1371,117
196702,1304,50
196802,1253,-1
196902,1253,-1
197002,1152,-102
197102,1294,40
197202,1368,114
197302,1149,-105
197402,1118,-136
197502,1375,121
197602,974,-280
197702,1047,-207
197802,1547,293
197902,1566,312
198002,1273,19
198102,1098,-156
198202,1275,21
198302,1013,-241
198402,995,-259
198502,1304,50
198602,1315,61
198702,917,-337
198802,1324,70
198902,1522,268
199002,1112,-142
199102,954,-300
199202,944,-310
199302,1409,155
199402,1452,198
199502,1108,-146
199602,1170,-84
199702,1198,-56
199802,910,-344
199902,918,-336
200002,954,-300
200102,1453,199
200202,987,-267
200302,1278,24
200402,1187,-67
200502,998,-256
200602,1171,-83
200702,1389,135
200802,1303,49
200902,1137,-117
201002,1387,133
201102,1334,80
201202,1089,-165
201302,1185,-69
201402,1423,169
201502,1294,40
