Massachusetts, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1036,-73
189612,1215,106
189712,1077,-32
189812,1162,53
189912,1037,-72
190012,1121,12
190112,1145,36
190212,1239,130
190312,1272,163
190412,1354,245
190512,1055,-54
190612,1232,123
190712,1022,-87
190812,1129,20
190912,1209,100
191012,1303,194
191112,950,-159
191212,971,-138
191312,993,-116
191412,1203,94
191512,1132,23
191612,1145,36
191712,1395,286
191812,1087,-22
191912,1258,149
192012,1049,-60
192112,1182,73
192212,1197,88
192312,911,-198
192412,1201,92
192512,1113,4
192612,1292,183
192712,1033,-76
192812,995,-114
192912,1143,34
193012,1112,3
193112,999,-110
193212,1021,-88
193312,1275,166
193412,1188,79
193512,1243,134
193612,1021,-88
193712,1153,44
193812,1074,-35
193912,1099,-10
194012,1064,-45
194112,1015,-94
194212,1239,130
194312,1222,113
194412,1184,75
194512,1276,167
194612,1060,-49
194712,1197,88
194812,1021,-88
194912,1013,-96
195012,1057,-52
195112,1059,-50
195212,1020,-89
195312,904,-205
195412,1060,-49
195512,1304,195
195612,996,-113
195712,908,-201
195812,1339,230
195912,1022,-87
196012,1258,149
196112,1110,1
196212,1224,115
196312,1323,214
196412,1091,-18
196512,1042,-67
196612,1091,-18
196712,1059,-50
196812,1189,80
196912,1138,29
197012,1210,101
197112,1028,-81
197212,1045,-64
197312,951,-158
197412,1014,-95
197512,1100,-9
197612,1285,176
197712,1144,35
197812,1073,-36
197912,975,-134
198012,1243,134
198112,1107,-2
198212,903,-206
198312,1124,15
198412,916,-193
198512,1176,67
198612,1014,-95
198712,1008,-101
198812,1123,14
198912,1484,375
199012,895,-214
199112,1017,-92
199212,1056,-53
199312,1064,-45
199412,935,-174
199512,1196,87
199612,896,-213
199712,1025,-84
199812,886,-223
199912,962,-147
200012,1199,90
200112,867,-242
200212,1098,-11
200312,1001,-108
200412,1041,-68
200512,1105,-4
200612,839,-270
200712,1105,-4
200812,1002,-107
200912,1081,-28
201012,1111,2
201112,872,-237
201212,904,-205
201312,1073,-36
201412,899,-210
201512,689,-420
