California, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,654,68
189601,508,-78
189701,614,28
189801,732,146
189901,549,-37
190001,496,-90
190101,609,23
190201,605,19
190301,581,-5
190401,623,37
190501,490,-96
190601,554,-32
190701,677,91
190801,557,-29
190901,539,-47
191001,692,106
191101,564,-22
191201,544,-42
191301,695,109
191401,547,-39
191501,615,29
191601,709,123
191701,747,161
191801,602,16
191901,569,-17
192001,548,-38
192101,640,54
192201,719,133
192301,595,9
192401,614,28
192501,584,-2
192601,594,8
192701,572,-14
192801,545,-41
192901,673,87
193001,636,50
193101,548,-38
193201,701,115
193301,706,120
193401,518,-68
193501,609,23
193601,525,-61
193701,881,295
193801,520,-66
193901,590,4
194001,506,-80
194101,534,-52
194201,555,-31
194301,567,-19
194401,592,6
194501,602,16
194601,601,15
194701,656,70
194801,499,-87
194901,875,289
195001,731,145
195101,599,13
195201,688,102
195301,456,-130
195401,601,15
195501,708,122
195601,551,-35
195701,683,97
195801,536,-50
195901,482,-104
196001,653,67
196101,502,-84
196201,592,6
196301,636,50
196401,617,31
196501,544,-42
196601,632,46
196701,554,-32
196801,594,8
196901,558,-28
197001,523,-63
197101,578,-8
197201,648,62
197301,651,65
197401,609,23
197501,568,-18
197601,512,-74
197701,584,-2
197801,498,-88
197901,647,61
198001,479,-107
198101,465,-121
198201,640,54
198301,513,-73
198401,491,-95
198501,609,23
198601,394,-192
198701,607,21
198801,555,-31
198901,615,29
199001,551,-35
199101,537,-49
199201,537,-49
199301,581,-5
199401,481,-105
199501,520,-66
199601,488,-98
199701,517,-69
199801,501,-85
199901,504,-82
200001,477,-109
200101,592,6
200201,580,-6
200301,353,-233
200401,544,-42
200501,518,-68
200601,512,-74
200701,608,22
200801,600,14
200901,433,-153
201001,491,-95
201101,481,-105
201201,445,-141
201301,574,-12
201401,339,-247
201501,392,-194
