Michigan, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1202,197
189603,1189,184
189703,1057,52
189803,908,-97
189903,1222,217
190003,1295,290
190103,1087,82
190203,872,-133
190303,804,-201
190403,1094,89
190503,964,-41
190603,1230,225
190703,900,-105
190803,990,-15
190903,1075,70
191003,709,-296
191103,1039,34
191203,1318,313
191303,1057,52
191403,1090,85
191503,1117,112
191603,1221,216
191703,1002,-3
191803,903,-102
191903,973,-32
192003,965,-40
192103,777,-228
192203,956,-49
192303,1157,152
192403,1086,81
192503,956,-49
192603,1231,226
192703,878,-127
192803,1072,67
192903,819,-186
193003,1044,39
193103,1064,59
193203,1191,186
193303,1053,48
193403,1174,169
193503,882,-123
193603,936,-69
193703,1138,133
193803,804,-201
193903,1045,40
194003,1211,206
194103,1166,161
194203,928,-77
194303,1102,97
194403,1140,135
194503,632,-373
194603,669,-336
194703,1154,149
194803,1036,31
194903,994,-11
195003,1162,157
195103,994,-11
195203,1050,45
195303,934,-71
195403,1070,65
195503,1018,13
195603,1115,110
195703,986,-19
195803,981,-24
195903,1060,55
196003,1315,310
196103,901,-104
196203,1041,36
196303,960,-45
196403,1003,-2
196503,1199,194
196603,902,-103
196703,1024,19
196803,889,-116
196903,1070,65
197003,1115,110
197103,1107,102
197203,1111,106
197303,743,-262
197403,982,-23
197503,1085,80
197603,862,-143
197703,806,-199
197803,1177,172
197903,906,-99
198003,1100,95
198103,942,-63
198203,1059,54
198303,898,-107
198403,1190,185
198503,897,-108
198603,901,-104
198703,859,-146
198803,969,-36
198903,1029,24
199003,874,-131
199103,862,-143
199203,1008,3
199303,1053,48
199403,980,-25
199503,893,-112
199603,1138,133
199703,955,-50
199803,889,-116
199903,1014,9
200003,724,-281
200103,1012,7
200203,1025,20
200303,984,-21
200403,832,-173
200503,1071,66
200603,923,-82
200703,830,-175
200803,1054,49
200903,910,-95
201003,792,-213
201103,1021,16
201203,525,-480
201303,1050,45
201403,1233,228
201503,1036,31
