Kansas, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,208,-121
189604,168,-161
189704,345,16
189804,379,50
189904,362,33
190004,286,-43
190104,383,54
190204,341,12
190304,327,-2
190404,457,128
190504,363,34
190604,231,-98
190704,510,181
190804,302,-27
190904,374,45
191004,267,-62
191104,350,21
191204,332,3
191304,270,-59
191404,333,4
191504,212,-117
191604,428,99
191704,396,67
191804,485,156
191904,359,30
192004,482,153
192104,317,-12
192204,315,-14
192304,339,10
192404,314,-15
192504,191,-138
192604,482,153
192704,259,-70
192804,417,88
192904,270,-59
193004,207,-122
193104,366,37
193204,250,-79
193304,326,-3
193404,271,-58
193504,406,77
193604,339,10
193704,341,12
193804,320,-9
193904,349,20
194004,346,17
194104,262,-67
194204,228,-101
194304,236,-93
194404,462,133
194504,384,55
194604,198,-131
194704,381,52
194804,167,-162
194904,339,10
195004,412,83
195104,432,103
195204,389,60
195304,425,96
195404,183,-146
195504,171,-158
195604,376,47
195704,388,59
195804,382,53
195904,343,14
196004,252,-77
196104,415,86
196204,352,23
196304,222,-107
196404,260,-69
196504,230,-99
196604,403,74
196704,222,-107
196804,320,-9
196904,292,-37
197004,338,9
197104,283,-46
197204,297,-32
197304,400,71
197404,277,-52
197504,353,24
197604,266,-63
197704,220,-109
197804,265,-64
197904,368,39
198004,353,24
198104,138,-191
198204,388,59
198304,532,203
198404,439,110
198504,228,-101
198604,238,-91
198704,278,-51
198804,355,26
198904,235,-94
199004,368,39
199104,256,-73
199204,319,-10
199304,439,110
199404,327,-2
199504,400,71
199604,341,12
199704,455,126
199804,371,42
199904,311,-18
200004,320,-9
200104,193,-136
200204,256,-73
200304,259,-70
200404,286,-43
200504,274,-55
200604,169,-160
200704,396,67
200804,411,82
200904,365,36
201004,197,-132
201104,279,-50
201204,179,-150
201304,468,139
201404,320,-9
201504,248,-81
