Illinois, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,35,-55
189609,158,68
189709,21,-69
189809,48,-42
189909,108,18
190009,59,-31
190109,97,7
190209,171,81
190309,110,20
190409,94,4
190509,65,-25
190609,37,-53
190709,117,27
190809,35,-55
190909,130,40
191009,103,13
191109,62,-28
191209,74,-16
191309,97,7
191409,94,4
191509,75,-15
191609,120,30
191709,129,39
191809,235,145
191909,49,-41
192009,44,-46
192109,39,-51
192209,43,-47
192309,94,4
192409,200,110
192509,23,-67
192609,101,11
192709,38,-52
192809,168,78
192909,103,13
193009,60,-30
193109,22,-68
193209,113,23
193309,25,-65
193409,115,25
193509,88,-2
193609,51,-39
193709,100,10
193809,75,-15
193909,28,-62
194009,101,11
194109,46,-44
194209,131,41
194309,158,68
194409,70,-20
194509,106,16
194609,86,-4
194709,61,-29
194809,56,-34
194909,202,112
195009,108,18
195109,142,52
195209,94,4
195309,72,-18
195409,47,-43
195509,67,-23
195609,96,6
195709,123,33
195809,87,-3
195909,53,-37
196009,38,-52
196109,55,-35
196209,134,44
196309,86,-4
196409,84,-6
196509,97,7
196609,120,30
196709,130,40
196809,90,0
196909,91,1
197009,73,-17
197109,38,-52
197209,76,-14
197309,66,-24
197409,164,74
197509,165,75
197609,120,30
197709,80,-10
197809,27,-63
197909,79,-11
198009,70,-20
198109,111,21
198209,106,16
198309,77,-13
198409,107,17
198509,65,-25
198609,50,-40
198709,82,-8
198809,59,-31
198909,130,40
199009,59,-31
199109,87,-3
199209,118,28
199309,179,89
199409,75,-15
199509,126,36
199609,103,13
199709,82,-8
199809,29,-61
199909,102,12
200009,75,-15
200109,114,24
200209,41,-49
200309,101,11
200409,51,-39
200509,23,-67
200609,119,29
200709,40,-50
200809,64,-26
200909,82,-8
201009,72,-18
201109,128,38
201209,98,8
201309,56,-34
201409,101,11
201509,26,-64
