Michigan, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,31,-40
189606,53,-18
189706,114,43
189806,50,-21
189906,47,-24
190006,83,12
190106,49,-22
190206,134,63
190306,151,80
190406,83,12
190506,84,13
190606,73,2
190706,108,37
190806,66,-5
190906,71,0
191006,86,15
191106,39,-32
191206,105,34
191306,48,-23
191406,69,-2
191506,151,80
191606,154,83
191706,141,70
191806,86,15
191906,14,-57
192006,59,-12
192106,23,-48
192206,53,-18
192306,31,-40
192406,107,36
192506,36,-35
192606,150,79
192706,138,67
192806,153,82
192906,115,44
193006,50,-21
193106,44,-27
193206,45,-26
193306,14,-57
193406,20,-51
193506,114,43
193606,91,20
193706,76,5
193806,75,4
193906,42,-29
194006,65,-6
194106,43,-28
194206,56,-15
194306,26,-45
194406,32,-39
194506,119,48
194606,80,9
194706,104,33
194806,80,9
194906,20,-51
195006,71,0
195106,84,13
195206,28,-43
195306,36,-35
195406,31,-40
195506,71,0
195606,42,-29
195706,56,-15
195806,148,77
195906,43,-28
196006,97,26
196106,80,9
196206,61,-10
196306,46,-25
196406,53,-18
196506,86,15
196606,43,-28
196706,34,-37
196806,69,-2
196906,135,64
197006,60,-11
197106,25,-46
197206,124,53
197306,36,-35
197406,94,23
197506,51,-20
197606,36,-35
197706,106,35
197806,75,4
197906,67,-4
198006,117,46
198106,59,-12
198206,134,63
198306,59,-12
198406,35,-36
198506,123,52
198606,87,16
198706,26,-45
198806,39,-32
198906,71,0
199006,63,-8
199106,25,-46
199206,120,49
199306,90,19
199406,45,-26
199506,31,-40
199606,49,-22
199706,48,-23
199806,56,-15
199906,32,-39
200006,57,-14
200106,57,-14
200206,36,-35
200306,91,20
200406,82,11
200506,14,-57
200606,58,-13
200706,29,-42
200806,42,-29
200906,76,5
201006,38,-33
201106,46,-25
201206,32,-39
201306,55,-16
201406,40,-31
201506,69,-2
