Maine, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1517,36
189601,1576,95
189701,1487,6
189801,1596,115
189901,1521,40
190001,1478,-3
190101,1560,79
190201,1513,32
190301,1508,27
190401,1727,246
190501,1657,176
190601,1293,-188
190701,1636,155
190801,1397,-84
190901,1487,6
191001,1349,-132
191101,1486,5
191201,1738,257
191301,1227,-254
191401,1600,119
191501,1406,-75
191601,1400,-81
191701,1501,20
191801,1724,243
191901,1401,-80
192001,1767,286
192101,1416,-65
192201,1608,127
192301,1631,150
192401,1475,-6
192501,1726,245
192601,1521,40
192701,1408,-73
192801,1436,-45
192901,1487,6
193001,1485,4
193101,1494,13
193201,1217,-264
193301,1228,-253
193401,1552,71
193501,1664,183
193601,1492,11
193701,1242,-239
193801,1491,10
193901,1496,15
194001,1608,127
194101,1543,62
194201,1498,17
194301,1584,103
194401,1410,-71
194501,1594,113
194601,1513,32
194701,1471,-10
194801,1602,121
194901,1314,-167
195001,1325,-156
195101,1337,-144
195201,1390,-91
195301,1270,-211
195401,1554,73
195501,1476,-5
195601,1247,-234
195701,1704,223
195801,1280,-201
195901,1470,-11
196001,1406,-75
196101,1649,168
196201,1491,10
196301,1406,-75
196401,1348,-133
196501,1553,72
196601,1383,-98
196701,1340,-141
196801,1610,129
196901,1406,-75
197001,1651,170
197101,1675,194
197201,1441,-40
197301,1393,-88
197401,1438,-43
197501,1381,-100
197601,1600,119
197701,1638,157
197801,1494,13
197901,1372,-109
198001,1389,-92
198101,1684,203
198201,1710,229
198301,1358,-123
198401,1545,64
198501,1627,146
198601,1376,-105
198701,1491,10
198801,1475,-6
198901,1355,-126
199001,1221,-260
199101,1489,8
199201,1444,-37
199301,1423,-58
199401,1731,250
199501,1291,-190
199601,1471,-10
199701,1451,-30
199801,1332,-149
199901,1425,-56
200001,1451,-30
200101,1475,-6
200201,1243,-238
200301,1617,136
200401,1688,207
200501,1541,60
200601,1190,-291
200701,1358,-123
200801,1323,-158
200901,1627,146
201001,1302,-179
201101,1430,-51
201201,1314,-167
201301,1394,-87
201401,1453,-28
201501,1530,49
