Montana, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1128,34
189603,1227,133
189703,1416,322
189803,1327,233
189903,1363,269
190003,979,-115
190103,1055,-39
190203,1117,23
190303,1216,122
190403,1271,177
190503,900,-194
190603,1304,210
190703,1068,-26
190803,1130,36
190903,1089,-5
191003,775,-319
191103,931,-163
191203,1420,326
191303,1301,207
191403,1017,-77
191503,1052,-42
191603,978,-116
191703,1378,284
191803,944,-150
191903,1174,80
192003,1195,101
192103,1058,-36
192203,1186,92
192303,1152,58
192403,1199,105
192503,1026,-68
192603,999,-95
192703,1065,-29
192803,994,-100
192903,1037,-57
193003,1133,39
193103,1062,-32
193203,1299,205
193303,1028,-66
193403,939,-155
193503,1177,83
193603,1124,30
193703,1134,40
193803,1069,-25
193903,1045,-49
194003,957,-137
194103,985,-109
194203,1098,4
194303,1342,248
194403,1247,153
194503,1043,-51
194603,917,-177
194703,1142,48
194803,1258,164
194903,1172,78
195003,1209,115
195103,1375,281
195203,1256,162
195303,1004,-90
195403,1269,175
195503,1352,258
195603,1121,27
195703,1096,2
195803,1162,68
195903,1018,-76
196003,1135,41
196103,966,-128
196203,1214,120
196303,969,-125
196403,1227,133
196503,1410,316
196603,1040,-54
196703,1175,81
196803,897,-197
196903,1241,147
197003,1188,94
197103,1133,39
197203,928,-166
197303,984,-110
197403,1071,-23
197503,1210,116
197603,1172,78
197703,1080,-14
197803,1019,-75
197903,1062,-32
198003,1133,39
198103,923,-171
198203,1093,-1
198303,965,-129
198403,1002,-92
198503,1111,17
198603,800,-294
198703,991,-103
198803,995,-99
198903,1162,68
199003,997,-97
199103,1049,-45
199203,818,-276
199303,954,-140
199403,921,-173
199503,1085,-9
199603,1215,121
199703,1026,-68
199803,1078,-16
199903,949,-145
200003,940,-154
200103,969,-125
200203,1320,226
200303,1053,-41
200403,849,-245
200503,954,-140
200603,1058,-36
200703,825,-269
200803,1072,-22
200903,1131,37
201003,891,-203
201103,1065,-29
201203,845,-249
201303,1028,-66
201403,1066,-28
201503,802,-292
