New Hampshire, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,714,21
189604,643,-50
189704,647,-46
189804,788,95
189904,729,36
190004,715,22
190104,665,-28
190204,663,-30
190304,694,1
190404,771,78
190504,719,26
190604,728,35
190704,815,122
190804,752,59
190904,720,27
191004,555,-138
191104,774,81
191204,708,15
191304,643,-50
191404,795,102
191504,562,-131
191604,731,38
191704,793,100
191804,699,6
191904,701,8
192004,795,102
192104,527,-166
192204,691,-2
192304,724,31
192404,754,61
192504,658,-35
192604,870,177
192704,701,8
192804,761,68
192904,709,16
193004,730,37
193104,648,-45
193204,728,35
193304,722,29
193404,657,-36
193504,716,23
193604,740,47
193704,747,54
193804,607,-86
193904,827,134
194004,814,121
194104,520,-173
194204,608,-85
194304,861,168
194404,817,124
194504,534,-159
194604,728,35
194704,750,57
194804,664,-29
194904,599,-94
195004,752,59
195104,631,-62
195204,613,-80
195304,648,-45
195404,640,-53
195504,627,-66
195604,804,111
195704,609,-84
195804,648,-45
195904,658,-35
196004,661,-32
196104,741,48
196204,666,-27
196304,713,20
196404,730,37
196504,761,68
196604,768,75
196704,760,67
196804,584,-109
196904,653,-40
197004,692,-1
197104,767,74
197204,830,137
197304,617,-76
197404,613,-80
197504,819,126
197604,572,-121
197704,642,-51
197804,762,69
197904,689,-4
198004,660,-33
198104,598,-95
198204,755,62
198304,658,-35
198404,656,-37
198504,656,-37
198604,568,-125
198704,594,-99
198804,684,-9
198904,764,71
199004,647,-46
199104,567,-126
199204,740,47
199304,639,-54
199404,648,-45
199504,763,70
199604,683,-10
199704,743,50
199804,601,-92
199904,636,-57
200004,674,-19
200104,681,-12
200204,585,-108
200304,757,64
200404,638,-55
200504,590,-103
200604,587,-106
200704,739,46
200804,602,-91
200904,580,-113
201004,514,-179
201104,633,-60
201204,581,-112
201304,647,-46
201404,667,-26
201504,690,-3
