Minnesota, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,305,-32
189605,210,-127
189705,373,36
189805,355,18
189905,367,30
190005,251,-86
190105,285,-52
190205,281,-56
190305,311,-26
190405,356,19
190505,436,99
190605,395,58
190705,633,296
190805,382,45
190905,416,79
191005,448,111
191105,232,-105
191205,330,-7
191305,414,77
191405,275,-62
191505,460,123
191605,392,55
191705,447,110
191805,303,-34
191905,340,3
192005,333,-4
192105,288,-49
192205,212,-125
192305,319,-18
192405,552,215
192505,414,77
192605,246,-91
192705,447,110
192805,270,-67
192905,449,112
193005,333,-4
193105,383,46
193205,304,-33
193305,329,-8
193405,151,-186
193505,446,109
193605,224,-113
193705,299,-38
193805,395,58
193905,218,-119
194005,381,44
194105,212,-125
194205,405,68
194305,403,66
194405,260,-77
194505,497,160
194605,423,86
194705,472,135
194805,336,-1
194905,264,-73
195005,418,81
195105,247,-90
195205,325,-12
195305,342,5
195405,484,147
195505,223,-114
195605,351,14
195705,358,21
195805,294,-43
195905,277,-60
196005,337,0
196105,388,51
196205,261,-76
196305,372,35
196405,227,-110
196505,291,-46
196605,441,104
196705,481,144
196805,421,84
196905,295,-42
197005,355,18
197105,402,65
197205,239,-98
197305,388,51
197405,427,90
197505,244,-93
197605,336,-1
197705,132,-205
197805,255,-82
197905,443,106
198005,230,-107
198105,344,7
198205,244,-93
198305,429,92
198405,376,39
198505,225,-112
198605,282,-55
198705,219,-118
198805,171,-166
198905,318,-19
199005,388,51
199105,228,-109
199205,257,-80
199305,351,14
199405,265,-72
199505,364,27
199605,405,68
199705,462,125
199805,180,-157
199905,263,-74
200005,266,-71
200105,274,-63
200205,448,111
200305,339,2
200405,404,67
200505,388,51
200605,265,-72
200705,217,-120
200805,400,63
200905,332,-5
201005,282,-55
201105,348,11
201205,225,-112
201305,365,28
201405,329,-8
201505,329,-8
