Ohio, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,12,-23
189606,29,-6
189706,53,18
189806,15,-20
189906,15,-20
190006,27,-8
190106,18,-17
190206,55,20
190306,95,60
190406,37,2
190506,30,-5
190606,25,-10
190706,77,42
190806,30,-5
190906,24,-11
191006,70,35
191106,18,-17
191206,60,25
191306,28,-7
191406,20,-15
191506,64,29
191606,96,61
191706,58,23
191806,39,4
191906,4,-31
192006,37,2
192106,9,-26
192206,21,-14
192306,19,-16
192406,47,12
192506,10,-25
192606,77,42
192706,103,68
192806,91,56
192906,56,21
193006,27,-8
193106,24,-11
193206,22,-13
193306,5,-30
193406,1,-34
193506,54,19
193606,27,-8
193706,28,-7
193806,46,11
193906,12,-23
194006,24,-11
194106,20,-15
194206,18,-17
194306,4,-31
194406,9,-26
194506,51,16
194606,37,2
194706,47,12
194806,31,-4
194906,7,-28
195006,43,8
195106,29,-6
195206,6,-29
195306,13,-22
195406,14,-21
195506,65,30
195606,30,-5
195706,20,-15
195806,81,46
195906,27,-8
196006,42,7
196106,55,20
196206,23,-12
196306,29,-6
196406,26,-9
196506,37,2
196606,23,-12
196706,13,-22
196806,30,-5
196906,46,11
197006,28,-7
197106,10,-25
197206,90,55
197306,14,-21
197406,59,24
197506,21,-14
197606,21,-14
197706,57,22
197806,29,-6
197906,38,3
198006,62,27
198106,22,-13
198206,71,36
198306,27,-8
198406,13,-22
198506,70,35
198606,29,-6
198706,13,-22
198806,29,-6
198906,31,-4
199006,37,2
199106,10,-25
199206,77,42
199306,37,2
199406,13,-22
199506,16,-19
199606,20,-15
199706,32,-3
199806,28,-7
199906,15,-20
200006,21,-14
200106,32,-3
200206,13,-22
200306,61,26
200406,39,4
200506,7,-28
200606,42,7
200706,18,-17
200806,15,-20
200906,32,-3
201006,9,-26
201106,18,-17
201206,17,-18
201306,25,-10
201406,16,-19
201506,22,-13
