Kansas, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1036,20
189612,827,-189
189712,1136,120
189812,1190,174
189912,1085,69
190012,955,-61
190112,1101,85
190212,1164,148
190312,1021,5
190412,1077,61
190512,1038,22
190612,900,-116
190712,953,-63
190812,912,-104
190912,1328,312
191012,1042,26
191112,1045,29
191212,962,-54
191312,955,-61
191412,1305,289
191512,962,-54
191612,1160,144
191712,1265,249
191812,927,-89
191912,1212,196
192012,964,-52
192112,963,-53
192212,978,-38
192312,898,-118
192412,1254,238
192512,1037,21
192612,1042,26
192712,1168,152
192812,923,-93
192912,984,-32
193012,1001,-15
193112,804,-212
193212,1152,136
193312,829,-187
193412,1037,21
193512,1028,12
193612,866,-150
193712,1075,59
193812,926,-90
193912,839,-177
194012,920,-96
194112,846,-170
194212,1061,45
194312,1111,95
194412,1118,102
194512,1214,198
194612,848,-168
194712,963,-53
194812,955,-61
194912,959,-57
195012,1032,16
195112,1073,57
195212,1059,43
195312,953,-63
195412,920,-96
195512,1062,46
195612,907,-109
195712,807,-209
195812,1054,38
195912,840,-176
196012,1046,30
196112,1175,159
196212,975,-41
196312,1251,235
196412,1081,65
196512,794,-222
196612,1054,38
196712,975,-41
196812,1124,108
196912,1026,10
197012,903,-113
197112,924,-92
197212,1170,154
197312,1049,33
197412,984,-32
197512,917,-99
197612,1026,10
197712,1013,-3
197812,1057,41
197912,888,-128
198012,926,-90
198112,1021,5
198212,907,-109
198312,1514,498
198412,911,-105
198512,1194,178
198612,943,-73
198712,948,-68
198812,876,-140
198912,1262,246
199012,1109,93
199112,866,-150
199212,1019,3
199312,909,-107
199412,886,-130
199512,1010,-6
199612,1016,0
199712,989,-27
199812,915,-101
199912,868,-148
200012,1313,297
200112,838,-178
200212,902,-114
200312,904,-112
200412,902,-114
200512,1068,52
200612,855,-161
200712,1080,64
200812,1077,61
200912,1157,141
201012,1021,5
201112,926,-90
201212,895,-121
201312,1113,97
201412,911,-105
201512,802,-214
