Kentucky, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,871,-27
189612,841,-57
189712,874,-24
189812,1008,110
189912,983,85
190012,873,-25
190112,1056,158
190212,924,26
190312,1121,223
190412,943,45
190512,907,9
190612,844,-54
190712,867,-31
190812,818,-80
190912,1126,228
191012,1093,195
191112,765,-133
191212,908,10
191312,823,-75
191412,1041,143
191512,916,18
191612,966,68
191712,1227,329
191812,676,-222
191912,999,101
192012,865,-33
192112,784,-114
192212,774,-124
192312,628,-270
192412,952,54
192512,986,88
192612,896,-2
192712,914,16
192812,847,-51
192912,864,-34
193012,978,80
193112,646,-252
193212,886,-12
193312,706,-192
193412,924,26
193512,1138,240
193612,807,-91
193712,960,62
193812,889,-9
193912,852,-46
194012,737,-161
194112,747,-151
194212,946,48
194312,978,80
194412,1046,148
194512,1082,184
194612,752,-146
194712,889,-9
194812,809,-89
194912,791,-107
195012,1083,185
195112,842,-56
195212,836,-62
195312,921,23
195412,916,18
195512,970,72
195612,652,-246
195712,765,-133
195812,1093,195
195912,820,-78
196012,1096,198
196112,905,7
196212,1061,163
196312,1225,327
196412,844,-54
196512,781,-117
196612,920,22
196712,805,-93
196812,960,62
196912,1035,137
197012,796,-102
197112,634,-264
197212,822,-76
197312,886,-12
197412,868,-30
197512,861,-37
197612,1035,137
197712,977,79
197812,856,-42
197912,839,-59
198012,878,-20
198112,992,94
198212,653,-245
198312,1119,221
198412,631,-267
198512,1076,178
198612,896,-2
198712,805,-93
198812,874,-24
198912,1254,356
199012,772,-126
199112,770,-128
199212,887,-11
199312,908,10
199412,743,-155
199512,969,71
199612,768,-130
199712,882,-16
199812,755,-143
199912,824,-74
200012,1194,296
200112,724,-174
200212,887,-11
200312,871,-27
200412,889,-9
200512,989,91
200612,729,-169
200712,757,-141
200812,884,-14
200912,912,14
201012,1120,222
201112,745,-153
201212,685,-213
201312,858,-40
201412,794,-104
201512,522,-376
