Pennsylvania, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,999,-75
189612,1112,38
189712,1015,-59
189812,1112,38
189912,1064,-10
190012,1082,8
190112,1142,68
190212,1163,89
190312,1257,183
190412,1267,193
190512,1016,-58
190612,1100,26
190712,1031,-43
190812,1084,10
190912,1220,146
191012,1309,235
191112,930,-144
191212,997,-77
191312,982,-92
191412,1203,129
191512,1139,65
191612,1129,55
191712,1369,295
191812,921,-153
191912,1252,178
192012,1026,-48
192112,1087,13
192212,1085,11
192312,835,-239
192412,1114,40
192512,1101,27
192612,1215,141
192712,1039,-35
192812,996,-78
192912,1058,-16
193012,1122,48
193112,879,-195
193212,1033,-41
193312,1087,13
193412,1104,30
193512,1239,165
193612,988,-86
193712,1129,55
193812,1058,-16
193912,1011,-63
194012,951,-123
194112,954,-120
194212,1192,118
194312,1147,73
194412,1203,129
194512,1239,165
194612,991,-83
194712,1118,44
194812,1027,-47
194912,992,-82
195012,1185,111
195112,1040,-34
195212,1002,-72
195312,953,-121
195412,1085,11
195512,1214,140
195612,871,-203
195712,958,-116
195812,1305,231
195912,996,-78
196012,1302,228
196112,1100,26
196212,1231,157
196312,1283,209
196412,1019,-55
196512,956,-118
196612,1079,5
196712,1010,-64
196812,1144,70
196912,1182,108
197012,1048,-26
197112,883,-191
197212,936,-138
197312,993,-81
197412,992,-82
197512,1042,-32
197612,1247,173
197712,1131,57
197812,1014,-60
197912,962,-112
198012,1151,77
198112,1107,33
198212,844,-230
198312,1167,93
198412,845,-229
198512,1160,86
198612,997,-77
198712,955,-119
198812,1062,-12
198912,1419,345
199012,897,-177
199112,955,-119
199212,1024,-50
199312,1063,-11
199412,895,-179
199512,1184,110
199612,913,-161
199712,977,-97
199812,855,-219
199912,953,-121
200012,1254,180
200112,836,-238
200212,1100,26
200312,1012,-62
200412,1005,-69
200512,1136,62
200612,811,-263
200712,991,-83
200812,1001,-73
200912,1059,-15
201012,1164,90
201112,864,-210
201212,855,-219
201312,1006,-68
201412,909,-165
201512,641,-433
