Connecticut, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,1017,119
189603,1104,206
189703,916,18
189803,746,-152
189903,1022,124
190003,1060,162
190103,967,69
190203,760,-138
190303,669,-229
190403,1016,118
190503,957,59
190603,1105,207
190703,906,8
190803,903,5
190903,979,81
191003,772,-126
191103,1010,112
191203,1023,125
191303,780,-118
191403,997,99
191503,1006,108
191603,1186,288
191703,959,61
191803,891,-7
191903,825,-73
192003,927,29
192103,673,-225
192203,885,-13
192303,1041,143
192403,948,50
192503,797,-101
192603,1058,160
192703,822,-76
192803,971,73
192903,794,-104
193003,919,21
193103,899,1
193203,997,99
193303,968,70
193403,992,94
193503,837,-61
193603,728,-170
193703,1033,135
193803,809,-89
193903,996,98
194003,1076,178
194103,1065,167
194203,798,-100
194303,954,56
194403,1001,103
194503,627,-271
194603,635,-263
194703,971,73
194803,895,-3
194903,857,-41
195003,1031,133
195103,857,-41
195203,914,16
195303,827,-71
195403,857,-41
195503,901,3
195603,1032,134
195703,854,-44
195803,877,-21
195903,926,28
196003,1102,204
196103,904,6
196203,897,-1
196303,879,-19
196403,862,-36
196503,941,43
196603,864,-34
196703,1030,132
196803,838,-60
196903,973,75
197003,970,72
197103,935,37
197203,953,55
197303,708,-190
197403,869,-29
197503,941,43
197603,828,-70
197703,745,-153
197803,993,95
197903,768,-130
198003,920,22
198103,883,-15
198203,915,17
198303,799,-99
198403,1032,134
198503,788,-110
198603,836,-62
198703,809,-89
198803,845,-53
198903,879,-19
199003,801,-97
199103,777,-121
199203,950,52
199303,966,68
199403,902,4
199503,783,-115
199603,961,63
199703,878,-20
199803,779,-119
199903,835,-63
200003,700,-198
200103,935,37
200203,801,-97
200303,884,-14
200403,824,-74
200503,996,98
200603,863,-35
200703,910,12
200803,859,-39
200903,861,-37
201003,667,-231
201103,848,-50
201203,586,-312
201303,878,-20
201403,1040,142
201503,1037,139
