Idaho, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,335,98
189609,274,37
189709,231,-6
189809,231,-6
189909,195,-42
190009,275,38
190109,333,96
190209,269,32
190309,314,77
190409,197,-40
190509,210,-27
190609,205,-32
190709,255,18
190809,232,-5
190909,220,-17
191009,228,-9
191109,289,52
191209,392,155
191309,237,0
191409,295,58
191509,282,45
191609,249,12
191709,182,-55
191809,178,-59
191909,218,-19
192009,241,4
192109,363,126
192209,174,-63
192309,185,-52
192409,226,-11
192509,238,1
192609,379,142
192709,291,54
192809,215,-22
192909,330,93
193009,223,-14
193109,231,-6
193209,224,-13
193309,268,31
193409,273,36
193509,164,-73
193609,257,20
193709,171,-66
193809,119,-118
193909,203,-34
194009,184,-53
194109,341,104
194209,205,-32
194309,164,-73
194409,208,-29
194509,296,59
194609,265,28
194709,222,-15
194809,228,-9
194909,182,-55
195009,223,-14
195109,229,-8
195209,168,-69
195309,169,-68
195409,237,0
195509,235,-2
195609,211,-26
195709,193,-44
195809,238,1
195909,289,52
196009,179,-58
196109,351,114
196209,202,-35
196309,128,-109
196409,301,64
196509,387,150
196609,146,-91
196709,130,-107
196809,257,20
196909,191,-46
197009,363,126
197109,356,119
197209,332,95
197309,247,10
197409,211,-26
197509,219,-18
197609,199,-38
197709,254,17
197809,268,31
197909,154,-83
198009,226,-11
198109,193,-44
198209,254,17
198309,257,20
198409,286,49
198509,383,146
198609,351,114
198709,173,-64
198809,245,8
198909,211,-26
199009,97,-140
199109,183,-54
199209,245,8
199309,237,0
199409,146,-91
199509,185,-52
199609,287,50
199709,171,-66
199809,115,-122
199909,245,8
200009,249,12
200109,138,-99
200209,205,-32
200309,189,-48
200409,250,13
200509,249,12
200609,222,-15
200709,219,-18
200809,217,-20
200909,125,-112
201009,200,-37
201109,133,-104
201209,158,-79
201309,174,-63
201409,169,-68
201509,185,-52
