Minnesota, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,178,-62
189609,344,104
189709,114,-126
189809,195,-45
189909,305,65
190009,230,-10
190109,281,41
190209,343,103
190309,325,85
190409,294,54
190509,171,-69
190609,137,-103
190709,297,57
190809,120,-120
190909,241,1
191009,237,-3
191109,277,37
191209,254,14
191309,240,0
191409,212,-28
191509,243,3
191609,298,58
191709,278,38
191809,413,173
191909,192,-48
192009,150,-90
192109,179,-61
192209,157,-83
192309,192,-48
192409,336,96
192509,172,-68
192609,331,91
192709,185,-55
192809,326,86
192909,293,53
193009,233,-7
193109,103,-137
193209,266,26
193309,126,-114
193409,326,86
193509,254,14
193609,155,-85
193709,214,-26
193809,206,-34
193909,178,-62
194009,149,-91
194109,193,-47
194209,328,88
194309,318,78
194409,231,-9
194509,280,40
194609,266,26
194709,216,-24
194809,116,-124
194909,303,63
195009,215,-25
195109,342,102
195209,192,-48
195309,226,-14
195409,259,19
195509,220,-20
195609,308,68
195709,286,46
195809,204,-36
195909,219,-21
196009,196,-44
196109,242,2
196209,299,59
196309,177,-63
196409,266,26
196509,443,203
196609,239,-1
196709,228,-12
196809,223,-17
196909,205,-35
197009,223,-17
197109,201,-39
197209,292,52
197309,254,14
197409,351,111
197509,319,79
197609,223,-17
197709,235,-5
197809,136,-104
197909,188,-52
198009,260,20
198109,257,17
198209,253,13
198309,198,-42
198409,332,92
198509,277,37
198609,255,15
198709,193,-47
198809,206,-34
198909,231,-9
199009,170,-70
199109,264,24
199209,266,26
199309,388,148
199409,160,-80
199509,259,19
199609,212,-28
199709,167,-73
199809,112,-128
199909,237,-3
200009,240,0
200109,232,-8
200209,151,-89
200309,205,-35
200409,114,-126
200509,125,-115
200609,259,19
200709,172,-68
200809,188,-52
200909,116,-124
201009,280,40
201109,223,-17
201209,220,-20
201309,133,-107
201409,200,-40
201509,89,-151
