Rhode Island, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1212,39
189601,1296,123
189701,1215,42
189801,1178,5
189901,1181,8
190001,1159,-14
190101,1221,48
190201,1249,76
190301,1181,8
190401,1410,237
190501,1302,129
190601,1011,-162
190701,1221,48
190801,1138,-35
190901,1128,-45
191001,1125,-48
191101,1104,-69
191201,1438,265
191301,905,-268
191401,1194,21
191501,1104,-69
191601,1054,-119
191701,1159,-14
191801,1445,272
191901,1091,-82
192001,1432,259
192101,1135,-38
192201,1274,101
192301,1299,126
192401,1132,-41
192501,1262,89
192601,1162,-11
192701,1194,21
192801,1104,-69
192901,1215,42
193001,1138,-35
193101,1175,2
193201,884,-289
193301,936,-237
193401,1141,-32
193501,1308,135
193601,1237,64
193701,911,-262
193801,1228,55
193901,1203,30
194001,1398,225
194101,1256,83
194201,1218,45
194301,1240,67
194401,1122,-51
194501,1330,157
194601,1159,-14
194701,1051,-122
194801,1348,175
194901,964,-209
195001,918,-255
195101,1026,-147
195201,1038,-135
195301,998,-175
195401,1228,55
195501,1190,17
195601,1119,-54
195701,1342,169
195801,1122,-51
195901,1181,8
196001,1153,-20
196101,1336,163
196201,1178,5
196301,1184,11
196401,1110,-63
196501,1274,101
196601,1181,8
196701,1008,-165
196801,1283,110
196901,1175,2
197001,1404,231
197101,1327,154
197201,1091,-82
197301,1085,-88
197401,1091,-82
197501,1008,-165
197601,1286,113
197701,1410,237
197801,1246,73
197901,1100,-73
198001,1128,-45
198101,1426,253
198201,1383,210
198301,1119,-54
198401,1237,64
198501,1321,148
198601,1094,-79
198701,1169,-4
198801,1243,70
198901,1023,-150
199001,927,-246
199101,1141,-32
199201,1104,-69
199301,1085,-88
199401,1355,182
199501,958,-215
199601,1159,-14
199701,1138,-35
199801,952,-221
199901,1097,-76
200001,1187,14
200101,1147,-26
200201,939,-234
200301,1286,113
200401,1386,213
200501,1200,27
200601,899,-274
200701,998,-175
200801,1032,-141
200901,1290,117
201001,1135,-38
201101,1234,61
201201,976,-197
201301,1070,-103
201401,1209,36
201501,1228,55
