Mississippi, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,689,73
189601,656,40
189701,714,98
189801,485,-131
189901,636,20
190001,635,19
190101,565,-51
190201,672,56
190301,647,31
190401,706,90
190501,786,170
190601,588,-28
190701,358,-258
190801,622,6
190901,498,-118
191001,586,-30
191101,433,-183
191201,764,148
191301,443,-173
191401,528,-88
191501,682,66
191601,445,-171
191701,503,-113
191801,888,272
191901,659,43
192001,584,-32
192101,477,-139
192201,601,-15
192301,428,-188
192401,750,134
192501,588,-28
192601,659,43
192701,502,-114
192801,616,0
192901,548,-68
193001,658,42
193101,644,28
193201,441,-175
193301,425,-191
193401,501,-115
193501,550,-66
193601,683,67
193701,370,-246
193801,574,-42
193901,498,-118
194001,1017,401
194101,556,-60
194201,708,92
194301,568,-48
194401,609,-7
194501,627,11
194601,594,-22
194701,541,-75
194801,835,219
194901,425,-191
195001,290,-326
195101,560,-56
195201,392,-224
195301,487,-129
195401,553,-63
195501,634,18
195601,681,65
195701,543,-73
195801,756,140
195901,691,75
196001,650,34
196101,783,167
196201,724,108
196301,804,188
196401,682,66
196501,557,-59
196601,771,155
196701,611,-5
196801,694,78
196901,624,8
197001,800,184
197101,606,-10
197201,514,-102
197301,689,73
197401,433,-183
197501,501,-115
197601,711,95
197701,961,345
197801,905,289
197901,857,241
198001,564,-52
198101,752,136
198201,647,31
198301,687,71
198401,795,179
198501,856,240
198601,642,26
198701,679,63
198801,760,144
198901,457,-159
199001,478,-138
199101,624,8
199201,639,23
199301,537,-79
199401,728,112
199501,586,-30
199601,637,21
199701,614,-2
199801,515,-101
199901,485,-131
200001,550,-66
200101,737,121
200201,549,-67
200301,749,133
200401,611,-5
200501,474,-142
200601,437,-179
200701,582,-34
200801,661,45
200901,611,-5
201001,748,132
201101,699,83
201201,456,-160
201301,501,-115
201401,812,196
201501,655,39
