Montana, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,471,88
189609,489,106
189709,325,-58
189809,385,2
189909,310,-73
190009,428,45
190109,517,134
190209,445,62
190309,464,81
190409,346,-37
190509,308,-75
190609,317,-66
190709,413,30
190809,327,-56
190909,342,-41
191009,417,34
191109,443,60
191209,573,190
191309,361,-22
191409,390,7
191509,483,100
191609,410,27
191709,329,-54
191809,372,-11
191909,353,-30
192009,361,-22
192109,510,127
192209,276,-107
192309,328,-55
192409,377,-6
192509,396,13
192609,587,204
192709,422,39
192809,383,0
192909,504,121
193009,348,-35
193109,348,-35
193209,374,-9
193309,393,10
193409,482,99
193509,310,-73
193609,357,-26
193709,303,-80
193809,209,-174
193909,330,-53
194009,245,-138
194109,505,122
194209,364,-19
194309,341,-42
194409,350,-33
194509,441,58
194609,403,20
194709,384,1
194809,334,-49
194909,374,-9
195009,412,29
195109,464,81
195209,288,-95
195309,301,-82
195409,383,0
195509,398,15
195609,344,-39
195709,357,-26
195809,362,-21
195909,429,46
196009,337,-46
196109,546,163
196209,392,9
196309,233,-150
196409,461,78
196509,660,277
196609,249,-134
196709,234,-149
196809,389,6
196909,312,-71
197009,481,98
197109,476,93
197209,475,92
197309,398,15
197409,407,24
197509,390,7
197609,314,-69
197709,403,20
197809,352,-31
197909,266,-117
198009,353,-30
198109,317,-66
198209,412,29
198309,438,55
198409,500,117
198509,548,165
198609,515,132
198709,301,-82
198809,377,-6
198909,367,-16
199009,211,-172
199109,323,-60
199209,393,10
199309,427,44
199409,256,-127
199509,353,-30
199609,418,35
199709,283,-100
199809,202,-181
199909,428,45
200009,379,-4
200109,243,-140
200209,334,-49
200309,343,-40
200409,390,7
200509,353,-30
200609,342,-41
200709,349,-34
200809,383,0
200909,216,-167
201009,359,-24
201109,253,-130
201209,259,-124
201309,269,-114
201409,333,-50
201509,296,-87
