Maine, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,227,-24
189609,310,59
189709,293,42
189809,213,-38
189909,310,59
190009,215,-36
190109,214,-37
190209,251,0
190309,220,-31
190409,346,95
190509,306,55
190609,243,-8
190709,262,11
190809,167,-84
190909,254,3
191009,278,27
191109,319,68
191209,308,57
191309,302,51
191409,233,-18
191509,189,-62
191609,236,-15
191709,333,82
191809,327,76
191909,294,43
192009,223,-28
192109,180,-71
192209,242,-9
192309,235,-16
192409,293,42
192509,303,52
192609,290,39
192709,239,-12
192809,347,96
192909,225,-26
193009,169,-82
193109,219,-32
193209,203,-48
193309,233,-18
193409,159,-92
193509,296,45
193609,262,11
193709,204,-47
193809,297,46
193909,262,11
194009,257,6
194109,230,-21
194209,210,-41
194309,284,33
194409,211,-40
194509,190,-61
194609,188,-63
194709,219,-32
194809,217,-34
194909,267,16
195009,367,116
195109,224,-27
195209,215,-36
195309,220,-31
195409,298,47
195509,277,26
195609,354,103
195709,200,-51
195809,249,-2
195909,190,-61
196009,234,-17
196109,93,-158
196209,315,64
196309,344,93
196409,332,81
196509,249,-2
196609,314,63
196709,239,-12
196809,182,-69
196909,243,-8
197009,247,-4
197109,170,-81
197209,228,-23
197309,270,19
197409,276,25
197509,282,31
197609,256,5
197709,293,42
197809,338,87
197909,252,1
198009,277,26
198109,269,18
198209,225,-26
198309,148,-103
198409,284,33
198509,213,-38
198609,321,70
198709,252,1
198809,268,17
198909,231,-20
199009,247,-4
199109,282,31
199209,237,-14
199309,240,-11
199409,262,11
199509,315,64
199609,224,-27
199709,254,3
199809,196,-55
199909,92,-159
200009,261,10
200109,178,-73
200209,139,-112
200309,163,-88
200409,212,-39
200509,142,-109
200609,213,-38
200709,182,-69
200809,215,-36
200909,254,3
201009,152,-99
201109,145,-106
201209,226,-25
201309,206,-45
201409,208,-43
201509,89,-162
