Tennessee, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,958,97
189601,854,-7
189701,950,89
189801,697,-164
189901,861,0
190001,837,-24
190101,821,-40
190201,911,50
190301,865,4
190401,938,77
190501,1080,219
190601,759,-102
190701,578,-283
190801,876,15
190901,735,-126
191001,872,11
191101,714,-147
191201,1041,180
191301,660,-201
191401,750,-111
191501,910,49
191601,663,-198
191701,753,-108
191801,1226,365
191901,842,-19
192001,850,-11
192101,737,-124
192201,854,-7
192301,697,-164
192401,989,128
192501,821,-40
192601,878,17
192701,813,-48
192801,871,10
192901,834,-27
193001,882,21
193101,846,-15
193201,622,-239
193301,642,-219
193401,737,-124
193501,802,-59
193601,1004,143
193701,586,-275
193801,836,-25
193901,747,-114
194001,1300,439
194101,825,-36
194201,952,91
194301,799,-62
194401,828,-33
194501,906,45
194601,825,-36
194701,730,-131
194801,1101,240
194901,626,-235
195001,531,-330
195101,800,-61
195201,663,-198
195301,685,-176
195401,808,-53
195501,875,14
195601,953,92
195701,856,-5
195801,975,114
195901,916,55
196001,821,-40
196101,1011,150
196201,942,81
196301,1068,207
196401,878,17
196501,810,-51
196601,1038,177
196701,790,-71
196801,950,89
196901,911,50
197001,1091,230
197101,901,40
197201,773,-88
197301,897,36
197401,637,-224
197501,737,-124
197601,978,117
197701,1291,430
197801,1179,318
197901,1105,244
198001,809,-52
198101,1009,148
198201,999,138
198301,889,28
198401,1017,156
198501,1127,266
198601,902,41
198701,898,37
198801,998,137
198901,694,-167
199001,666,-195
199101,822,-39
199201,815,-46
199301,746,-115
199401,1021,160
199501,828,-33
199601,903,42
199701,863,2
199801,701,-160
199901,719,-142
200001,843,-18
200101,950,89
200201,764,-97
200301,1013,152
200401,869,8
200501,696,-165
200601,630,-231
200701,768,-93
200801,885,24
200901,918,57
201001,994,133
201101,959,98
201201,704,-157
201301,744,-117
201401,1081,220
201501,895,34
