New Hampshire, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1425,169
189602,1272,16
189702,1234,-22
189802,1177,-79
189902,1332,76
190002,1290,34
190102,1429,173
190202,1254,-2
190302,1196,-60
190402,1461,205
190502,1447,191
190602,1258,2
190702,1480,224
190802,1368,112
190902,1201,-55
191002,1300,44
191102,1344,88
191202,1332,76
191302,1320,64
191402,1454,198
191502,1131,-125
191602,1348,92
191702,1381,125
191802,1400,144
191902,1192,-64
192002,1326,70
192102,1200,-56
192202,1267,11
192302,1474,218
192402,1418,162
192502,1072,-184
192602,1350,94
192702,1185,-71
192802,1254,-2
192902,1262,6
193002,1197,-59
193102,1234,-22
193202,1251,-5
193302,1129,-127
193402,1586,330
193502,1290,34
193602,1453,197
193702,1104,-152
193802,1166,-90
193902,1216,-40
194002,1244,-12
194102,1224,-32
194202,1302,46
194302,1240,-16
194402,1304,48
194502,1242,-14
194602,1359,103
194702,1253,-3
194802,1395,139
194902,1110,-146
195002,1328,72
195102,1116,-140
195202,1168,-88
195302,1110,-146
195402,1051,-205
195502,1162,-94
195602,1165,-91
195702,1125,-131
195802,1360,104
195902,1359,103
196002,1089,-167
196102,1196,-60
196202,1376,120
196302,1389,133
196402,1262,6
196502,1276,20
196602,1220,-36
196702,1375,119
196802,1369,113
196902,1197,-59
197002,1220,-36
197102,1222,-34
197202,1294,38
197302,1245,-11
197402,1263,7
197502,1223,-33
197602,1102,-154
197702,1223,-33
197802,1402,146
197902,1442,186
198002,1304,48
198102,999,-257
198202,1253,-3
198302,1134,-122
198402,993,-263
198502,1156,-100
198602,1277,21
198702,1266,10
198802,1202,-54
198902,1229,-27
199002,1156,-100
199102,1081,-175
199202,1165,-91
199302,1428,172
199402,1361,105
199502,1276,20
199602,1224,-32
199702,1077,-179
199802,1005,-251
199902,1095,-161
200002,1137,-119
200102,1187,-69
200202,1076,-180
200302,1317,61
200402,1184,-72
200502,1155,-101
200602,1155,-101
200702,1347,91
200802,1162,-94
200902,1168,-88
201002,1077,-179
201102,1260,4
201202,1020,-236
201302,1136,-120
201402,1275,19
201502,1549,293
