Colorado, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,599,-71
189604,643,-27
189704,680,10
189804,620,-50
189904,647,-23
190004,727,57
190104,704,34
190204,637,-33
190304,680,10
190404,647,-23
190504,725,55
190604,628,-42
190704,719,49
190804,606,-64
190904,784,114
191004,567,-103
191104,652,-18
191204,737,67
191304,646,-24
191404,664,-6
191504,559,-111
191604,686,16
191704,783,113
191804,811,141
191904,655,-15
192004,909,239
192104,751,81
192204,745,75
192304,700,30
192404,720,50
192504,563,-107
192604,665,-5
192704,654,-16
192804,747,77
192904,717,47
193004,491,-179
193104,666,-4
193204,615,-55
193304,759,89
193404,569,-101
193504,705,35
193604,621,-49
193704,678,8
193804,651,-19
193904,624,-46
194004,652,-18
194104,707,37
194204,588,-82
194304,482,-188
194404,800,130
194504,825,155
194604,466,-204
194704,702,32
194804,581,-89
194904,622,-48
195004,662,-8
195104,749,79
195204,653,-17
195304,789,119
195404,506,-164
195504,645,-25
195604,712,42
195704,803,133
195804,760,90
195904,714,44
196004,592,-78
196104,730,60
196204,580,-90
196304,601,-69
196404,709,39
196504,607,-63
196604,698,28
196704,619,-51
196804,780,110
196904,559,-111
197004,802,132
197104,677,7
197204,622,-48
197304,829,159
197404,681,11
197504,765,95
197604,631,-39
197704,599,-71
197804,601,-69
197904,648,-22
198004,739,69
198104,479,-191
198204,693,23
198304,847,177
198404,823,153
198504,577,-93
198604,600,-70
198704,581,-89
198804,626,-44
198904,573,-97
199004,609,-61
199104,678,8
199204,503,-167
199304,678,8
199404,644,-26
199504,757,87
199604,630,-40
199704,807,137
199804,705,35
199904,748,78
200004,561,-109
200104,576,-94
200204,539,-131
200304,570,-100
200404,612,-58
200504,649,-21
200604,529,-141
200704,662,-8
200804,719,49
200904,689,19
201004,635,-35
201104,654,-16
201204,487,-183
201304,790,120
201404,637,-33
201504,604,-66
