Ohio, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1011,-67
189612,1037,-41
189712,1042,-36
189812,1160,82
189912,1116,38
190012,1069,-9
190112,1193,115
190212,1139,61
190312,1318,240
190412,1189,111
190512,1038,-40
190612,1059,-19
190712,1030,-48
190812,1031,-47
190912,1267,189
191012,1270,192
191112,930,-148
191212,1005,-73
191312,990,-88
191412,1224,146
191512,1122,44
191612,1172,94
191712,1401,323
191812,847,-231
191912,1269,191
192012,1022,-56
192112,1025,-53
192212,1058,-20
192312,803,-275
192412,1189,111
192512,1169,91
192612,1155,77
192712,1080,2
192812,988,-90
192912,1076,-2
193012,1112,34
193112,836,-242
193212,1067,-11
193312,995,-83
193412,1124,46
193512,1282,204
193612,970,-108
193712,1171,93
193812,1050,-28
193912,982,-96
194012,920,-158
194112,913,-165
194212,1200,122
194312,1150,72
194412,1252,174
194512,1269,191
194612,969,-109
194712,1084,6
194812,990,-88
194912,967,-111
195012,1279,201
195112,1088,10
195212,983,-95
195312,1005,-73
195412,1076,-2
195512,1160,82
195612,854,-224
195712,948,-130
195812,1348,270
195912,955,-123
196012,1288,210
196112,1111,33
196212,1256,178
196312,1370,292
196412,1029,-49
196512,905,-173
196612,1087,9
196712,984,-94
196812,1119,41
196912,1199,121
197012,999,-79
197112,857,-221
197212,985,-93
197312,1037,-41
197412,1055,-23
197512,1011,-67
197612,1286,208
197712,1159,81
197812,1028,-50
197912,980,-98
198012,1106,28
198112,1124,46
198212,795,-283
198312,1286,208
198412,846,-232
198512,1256,178
198612,1018,-60
198712,941,-137
198812,1067,-11
198912,1455,377
199012,908,-170
199112,957,-121
199212,996,-82
199312,1064,-14
199412,886,-192
199512,1202,124
199612,924,-154
199712,979,-99
199812,872,-206
199912,994,-84
200012,1348,270
200112,850,-228
200212,1065,-13
200312,1000,-78
200412,1047,-31
200512,1174,96
200612,831,-247
200712,995,-83
200812,1058,-20
200912,1072,-6
201012,1248,170
201112,875,-203
201212,851,-227
201312,1031,-47
201412,926,-152
201512,666,-412
