California, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,617,59
189612,504,-54
189712,621,63
189812,605,47
189912,554,-4
190012,521,-37
190112,527,-31
190212,590,32
190312,559,1
190412,544,-14
190512,609,51
190612,568,10
190712,520,-38
190812,634,76
190912,652,94
191012,516,-42
191112,660,102
191212,626,68
191312,602,44
191412,672,114
191512,570,12
191612,688,130
191712,471,-87
191812,640,82
191912,573,15
192012,601,43
192112,492,-66
192212,527,-31
192312,588,30
192412,640,82
192512,486,-72
192612,619,61
192712,614,56
192812,613,55
192912,425,-133
193012,588,30
193112,649,91
193212,694,136
193312,557,-1
193412,525,-33
193512,541,-17
193612,583,25
193712,465,-93
193812,475,-83
193912,435,-123
194012,457,-101
194112,553,-5
194212,535,-23
194312,549,-9
194412,518,-40
194512,561,3
194612,547,-11
194712,599,41
194812,688,130
194912,612,54
195012,417,-141
195112,636,78
195212,594,36
195312,531,-27
195412,579,21
195512,526,-32
195612,509,-49
195712,496,-62
195812,397,-161
195912,499,-59
196012,564,6
196112,591,33
196212,501,-57
196312,543,-15
196412,529,-29
196512,628,70
196612,546,-12
196712,651,93
196812,645,87
196912,510,-48
197012,621,63
197112,702,144
197212,655,97
197312,524,-34
197412,596,38
197512,533,-25
197612,513,-45
197712,419,-139
197812,668,110
197912,472,-86
198012,436,-122
198112,465,-93
198212,576,18
198312,505,-53
198412,627,69
198512,525,-33
198612,521,-37
198712,633,75
198812,573,15
198912,492,-66
199012,656,98
199112,524,-34
199212,624,66
199312,541,-17
199412,577,19
199512,462,-96
199612,479,-79
199712,565,7
199812,581,23
199912,478,-80
200012,442,-116
200112,566,8
200212,535,-23
200312,532,-26
200412,511,-47
200512,455,-103
200612,520,-38
200712,604,46
200812,581,23
200912,576,18
201012,481,-77
201112,573,15
201212,558,0
201312,496,-62
201412,443,-115
201512,558,0
