Kentucky, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,14,-31
189609,56,11
189709,24,-21
189809,15,-30
189909,48,3
190009,9,-36
190109,54,9
190209,65,20
190309,42,-3
190409,27,-18
190509,34,-11
190609,14,-31
190709,39,-6
190809,22,-23
190909,58,13
191009,22,-23
191109,10,-35
191209,23,-22
191309,37,-8
191409,57,12
191509,25,-20
191609,67,22
191709,62,17
191809,138,93
191909,26,-19
192009,29,-16
192109,8,-37
192209,18,-27
192309,36,-9
192409,97,52
192509,3,-42
192609,15,-30
192709,20,-25
192809,98,53
192909,40,-5
193009,17,-28
193109,8,-37
193209,36,-9
193309,9,-36
193409,37,-8
193509,49,4
193609,10,-35
193709,61,16
193809,33,-12
193909,8,-37
194009,73,28
194109,14,-31
194209,53,8
194309,74,29
194409,47,2
194509,15,-30
194609,46,1
194709,31,-14
194809,37,-8
194909,105,60
195009,73,28
195109,61,16
195209,55,10
195309,34,-11
195409,15,-30
195509,16,-29
195609,74,29
195709,35,-10
195809,49,4
195909,24,-21
196009,26,-19
196109,22,-23
196209,86,41
196309,67,22
196409,47,2
196509,31,-14
196609,79,34
196709,105,60
196809,57,12
196909,63,18
197009,13,-32
197109,23,-22
197209,22,-23
197309,19,-26
197409,114,69
197509,100,55
197609,93,48
197709,23,-22
197809,20,-25
197909,62,17
198009,20,-25
198109,76,31
198209,77,32
198309,34,-11
198409,69,24
198509,51,6
198609,22,-23
198709,39,-6
198809,50,5
198909,59,14
199009,36,-9
199109,38,-7
199209,59,14
199309,64,19
199409,77,32
199509,63,18
199609,67,22
199709,55,10
199809,11,-34
199909,43,-2
200009,57,12
200109,67,22
200209,16,-29
200309,69,24
200409,37,-8
200509,18,-27
200609,89,44
200709,15,-30
200809,19,-26
200909,35,-10
201009,26,-19
201109,60,15
201209,53,8
201309,33,-12
201409,44,-1
201509,24,-21
