Illinois, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1544,228
189601,1192,-124
189701,1350,34
189801,1188,-128
189901,1315,-1
190001,1145,-171
190101,1240,-76
190201,1289,-27
190301,1306,-10
190401,1532,216
190501,1498,182
190601,1117,-199
190701,1214,-102
190801,1221,-95
190901,1217,-99
191001,1341,25
191101,1229,-87
191201,1736,420
191301,1198,-118
191401,1080,-236
191501,1432,116
191601,1211,-105
191701,1339,23
191801,1743,427
191901,1168,-148
192001,1511,195
192101,1088,-228
192201,1339,23
192301,1138,-178
192401,1493,177
192501,1353,37
192601,1252,-64
192701,1338,22
192801,1253,-63
192901,1526,210
193001,1506,190
193101,1103,-213
193201,1036,-280
193301,945,-371
193401,1087,-229
193501,1278,-38
193601,1521,205
193701,1280,-36
193801,1285,-31
193901,1092,-224
194001,1626,310
194101,1201,-115
194201,1292,-24
194301,1327,11
194401,1095,-221
194501,1439,123
194601,1209,-107
194701,1171,-145
194801,1466,150
194901,1206,-110
195001,1125,-191
195101,1322,6
195201,1215,-101
195301,1168,-148
195401,1232,-84
195501,1289,-27
195601,1241,-75
195701,1477,161
195801,1292,-24
195901,1488,172
196001,1213,-103
196101,1345,29
196201,1508,192
196301,1635,319
196401,1138,-178
196501,1296,-20
196601,1476,160
196701,1170,-146
196801,1331,15
196901,1403,87
197001,1555,239
197101,1459,143
197201,1384,68
197301,1171,-145
197401,1284,-32
197501,1190,-126
197601,1423,107
197701,1761,445
197801,1564,248
197901,1692,376
198001,1286,-30
198101,1301,-15
198201,1605,289
198301,1173,-143
198401,1427,111
198501,1518,202
198601,1252,-64
198701,1231,-85
198801,1403,87
198901,1019,-297
199001,971,-345
199101,1371,55
199201,1129,-187
199301,1213,-103
199401,1502,186
199501,1293,-23
199601,1316,0
199701,1431,115
199801,1110,-206
199901,1343,27
200001,1251,-65
200101,1274,-42
200201,1032,-284
200301,1371,55
200401,1352,36
200501,1212,-104
200601,905,-411
200701,1139,-177
200801,1267,-49
200901,1502,186
201001,1392,76
201101,1371,55
201201,1100,-216
201301,1187,-129
201401,1537,221
201501,1318,2
