Maine, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1260,-63
189612,1430,107
189712,1329,6
189812,1394,71
189912,1213,-110
190012,1422,99
190112,1319,-4
190212,1477,154
190312,1461,138
190412,1646,323
190512,1301,-22
190612,1507,184
190712,1199,-124
190812,1430,107
190912,1328,5
191012,1482,159
191112,1167,-156
191212,1220,-103
191312,1216,-107
191412,1420,97
191512,1239,-84
191612,1317,-6
191712,1632,309
191812,1305,-18
191912,1512,189
192012,1261,-62
192112,1402,79
192212,1490,167
192312,1106,-217
192412,1476,153
192512,1354,31
192612,1467,144
192712,1232,-91
192812,1173,-150
192912,1424,101
193012,1314,-9
193112,1244,-79
193212,1202,-121
193312,1593,270
193412,1463,140
193512,1447,124
193612,1261,-62
193712,1377,54
193812,1247,-76
193912,1307,-16
194012,1370,47
194112,1231,-92
194212,1445,122
194312,1510,187
194412,1381,58
194512,1421,98
194612,1326,3
194712,1411,88
194812,1186,-137
194912,1185,-138
195012,1187,-136
195112,1332,9
195212,1193,-130
195312,1064,-259
195412,1242,-81
195512,1526,203
195612,1279,-44
195712,1109,-214
195812,1576,253
195912,1199,-124
196012,1383,60
196112,1250,-73
196212,1348,25
196312,1562,239
196412,1334,11
196512,1286,-37
196612,1230,-93
196712,1269,-54
196812,1334,11
196912,1222,-101
197012,1526,203
197112,1338,15
197212,1399,76
197312,1077,-246
197412,1200,-123
197512,1382,59
197612,1498,175
197712,1325,2
197812,1315,-8
197912,1193,-130
198012,1508,185
198112,1187,-136
198212,1124,-199
198312,1318,-5
198412,1181,-142
198512,1420,97
198612,1262,-61
198712,1212,-111
198812,1355,32
198912,1737,414
199012,1114,-209
199112,1344,21
199212,1222,-101
199312,1211,-112
199412,1159,-164
199512,1369,46
199612,1046,-277
199712,1247,-76
199812,1095,-228
199912,1125,-198
200012,1352,29
200112,1046,-277
200212,1258,-65
200312,1186,-137
200412,1285,-38
200512,1248,-75
200612,1044,-279
200712,1347,24
200812,1253,-70
200912,1230,-93
201012,1199,-124
201112,1101,-222
201212,1148,-175
201312,1373,50
201412,1095,-228
201512,960,-363
