Michigan, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1424,235
189602,1182,-7
189702,1150,-39
189802,1200,11
189902,1417,228
190002,1354,165
190102,1445,256
190202,1303,114
190302,1216,27
190402,1528,339
190502,1439,250
190602,1224,35
190702,1312,123
190802,1302,113
190902,1102,-87
191002,1279,90
191102,1095,-94
191202,1402,213
191302,1296,107
191402,1461,272
191502,1057,-132
191602,1306,117
191702,1420,231
191802,1255,66
191902,1114,-75
192002,1310,121
192102,1071,-118
192202,1142,-47
192302,1344,155
192402,1245,56
192502,1079,-110
192602,1195,6
192702,1024,-165
192802,1162,-27
192902,1330,141
193002,992,-197
193102,1000,-189
193202,1009,-180
193302,1174,-15
193402,1454,265
193502,1201,12
193602,1487,298
193702,1125,-64
193802,1038,-151
193902,1178,-11
194002,1164,-25
194102,1211,22
194202,1272,83
194302,1134,-55
194402,1124,-65
194502,1151,-38
194602,1176,-13
194702,1293,104
194802,1230,41
194902,1077,-112
195002,1182,-7
195102,1151,-38
195202,1084,-105
195302,1039,-150
195402,962,-227
195502,1154,-35
195602,1157,-32
195702,1072,-117
195802,1297,108
195902,1234,45
196002,1161,-28
196102,1053,-136
196202,1272,83
196302,1397,208
196402,1132,-57
196502,1194,5
196602,1134,-55
196702,1297,108
196802,1251,62
196902,1132,-57
197002,1210,21
197102,1149,-40
197202,1230,41
197302,1187,-2
197402,1245,56
197502,1123,-66
197602,989,-200
197702,1201,12
197802,1442,253
197902,1443,254
198002,1256,67
198102,1079,-110
198202,1271,82
198302,1007,-182
198402,939,-250
198502,1224,35
198602,1200,11
198702,1042,-147
198802,1250,61
198902,1250,61
199002,1046,-143
199102,1020,-169
199202,1029,-160
199302,1239,50
199402,1297,108
199502,1208,19
199602,1172,-17
199702,1045,-144
199802,862,-327
199902,965,-224
200002,988,-201
200102,1075,-114
200202,965,-224
200302,1250,61
200402,1120,-69
200502,1058,-131
200602,1080,-109
200702,1335,146
200802,1209,20
200902,1085,-104
201002,1116,-73
201102,1166,-23
201202,958,-231
201302,1147,-42
201402,1367,178
201502,1503,314
