Vermont, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1532,19
189601,1574,61
189701,1491,-22
189801,1558,45
189901,1522,9
190001,1477,-36
190101,1535,22
190201,1568,55
190301,1495,-18
190401,1763,250
190501,1631,118
190601,1285,-228
190701,1590,77
190801,1476,-37
190901,1449,-64
191001,1443,-70
191101,1464,-49
191201,1788,275
191301,1211,-302
191401,1586,73
191501,1417,-96
191601,1395,-118
191701,1533,20
191801,1839,326
191901,1376,-137
192001,1806,293
192101,1429,-84
192201,1645,132
192301,1655,142
192401,1455,-58
192501,1670,157
192601,1472,-41
192701,1511,-2
192801,1429,-84
192901,1536,23
193001,1451,-62
193101,1549,36
193201,1149,-364
193301,1185,-328
193401,1502,-11
193501,1671,158
193601,1582,69
193701,1221,-292
193801,1563,50
193901,1516,3
194001,1732,219
194101,1620,107
194201,1508,-5
194301,1649,136
194401,1457,-56
194501,1739,226
194601,1508,-5
194701,1420,-93
194801,1687,174
194901,1278,-235
195001,1247,-266
195101,1376,-137
195201,1403,-110
195301,1301,-212
195401,1619,106
195501,1567,54
195601,1418,-95
195701,1709,196
195801,1435,-78
195901,1546,33
196001,1501,-12
196101,1726,213
196201,1527,14
196301,1531,18
196401,1409,-104
196501,1600,87
196601,1523,10
196701,1317,-196
196801,1712,199
196901,1492,-21
197001,1836,323
197101,1700,187
197201,1450,-63
197301,1382,-131
197401,1428,-85
197501,1363,-150
197601,1700,187
197701,1711,198
197801,1555,42
197901,1469,-44
198001,1415,-98
198101,1768,255
198201,1784,271
198301,1423,-90
198401,1573,60
198501,1621,108
198601,1472,-41
198701,1512,-1
198801,1517,4
198901,1343,-170
199001,1181,-332
199101,1494,-19
199201,1461,-52
199301,1372,-141
199401,1820,307
199501,1243,-270
199601,1518,5
199701,1486,-27
199801,1312,-201
199901,1464,-49
200001,1516,3
200101,1429,-84
200201,1204,-309
200301,1692,179
200401,1756,243
200501,1557,44
200601,1187,-326
200701,1366,-147
200801,1323,-190
200901,1644,131
201001,1368,-145
201101,1503,-10
201201,1311,-202
201301,1401,-112
201401,1543,30
201501,1599,86
