New York, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,79,-39
189609,153,35
189709,140,22
189809,73,-45
189909,159,41
190009,61,-57
190109,111,-7
190209,128,10
190309,125,7
190409,158,40
190509,130,12
190609,72,-46
190709,105,-13
190809,85,-33
190909,147,29
191009,116,-2
191109,133,15
191209,125,7
191309,161,43
191409,139,21
191509,69,-49
191609,118,0
191709,202,84
191809,224,106
191909,116,-2
192009,93,-25
192109,50,-68
192209,92,-26
192309,99,-19
192409,194,76
192509,103,-15
192609,144,26
192709,111,-7
192809,185,67
192909,81,-37
193009,64,-54
193109,50,-68
193209,101,-17
193309,84,-34
193409,70,-48
193509,173,55
193609,99,-19
193709,154,36
193809,184,66
193909,103,-15
194009,157,39
194109,84,-34
194209,115,-3
194309,136,18
194409,88,-30
194509,65,-53
194609,80,-38
194709,89,-29
194809,88,-30
194909,161,43
195009,181,63
195109,122,4
195209,95,-23
195309,94,-24
195409,134,16
195509,125,7
195609,183,65
195709,97,-21
195809,121,3
195909,51,-67
196009,100,-18
196109,24,-94
196209,179,61
196309,212,94
196409,116,-2
196509,97,-21
196609,158,40
196709,134,16
196809,75,-43
196909,101,-17
197009,83,-35
197109,58,-60
197209,98,-20
197309,105,-13
197409,148,30
197509,182,64
197609,156,38
197709,106,-12
197809,168,50
197909,122,4
198009,85,-33
198109,141,23
198209,119,1
198309,72,-46
198409,165,47
198509,83,-35
198609,142,24
198709,120,2
198809,139,21
198909,105,-13
199009,125,7
199109,132,14
199209,122,4
199309,130,12
199409,125,7
199509,143,25
199609,95,-23
199709,127,9
199809,71,-47
199909,65,-53
200009,126,8
200109,104,-14
200209,56,-62
200309,86,-32
200409,69,-49
200509,45,-73
200609,128,10
200709,65,-53
200809,77,-41
200909,123,5
201009,68,-50
201109,54,-64
201209,88,-30
201309,125,7
201409,83,-35
201509,31,-87
