Connecticut, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,20,-27
189606,76,29
189706,108,61
189806,38,-9
189906,19,-28
190006,36,-11
190106,34,-13
190206,76,29
190306,169,122
190406,67,20
190506,69,22
190606,43,-4
190706,103,56
190806,24,-23
190906,32,-15
191006,74,27
191106,58,11
191206,62,15
191306,47,0
191406,64,17
191506,69,22
191606,124,77
191706,50,3
191806,94,47
191906,26,-21
192006,70,23
192106,36,-11
192206,25,-22
192306,22,-25
192406,76,29
192506,6,-41
192606,110,63
192706,96,49
192806,84,37
192906,32,-15
193006,12,-35
193106,38,-9
193206,48,1
193306,21,-26
193406,17,-30
193506,50,3
193606,42,-5
193706,31,-16
193806,43,-4
193906,40,-7
194006,67,20
194106,33,-14
194206,33,-14
194306,5,-42
194406,33,-14
194506,33,-14
194606,57,10
194706,77,30
194806,62,15
194906,10,-37
195006,47,0
195106,56,9
195206,20,-27
195306,27,-20
195406,34,-13
195506,62,15
195606,26,-21
195706,10,-37
195806,123,76
195906,53,6
196006,36,-11
196106,35,-12
196206,34,-13
196306,39,-8
196406,53,6
196506,52,5
196606,30,-17
196706,28,-19
196806,57,10
196906,35,-12
197006,51,4
197106,28,-19
197206,77,30
197306,15,-32
197406,57,10
197506,42,-5
197606,12,-35
197706,64,17
197806,46,-1
197906,55,8
198006,72,25
198106,27,-20
198206,89,42
198306,22,-25
198406,18,-29
198506,89,42
198606,54,7
198706,20,-27
198806,42,-5
198906,25,-22
199006,28,-19
199106,16,-31
199206,57,10
199306,30,-17
199406,11,-36
199506,24,-23
199606,24,-23
199706,33,-14
199806,46,-1
199906,11,-36
200006,34,-13
200106,14,-33
200206,42,-5
200306,54,7
200406,47,0
200506,8,-39
200606,23,-24
200706,28,-19
200806,11,-36
200906,65,18
201006,10,-37
201106,24,-23
201206,30,-17
201306,18,-29
201406,25,-22
201506,44,-3
