New Mexico, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,623,-14
189603,581,-56
189703,675,38
189803,655,18
189903,595,-42
190003,553,-84
190103,665,28
190203,748,111
190303,682,45
190403,512,-125
190503,579,-58
190603,619,-18
190703,494,-143
190803,511,-126
190903,732,95
191003,455,-182
191103,511,-126
191203,672,35
191303,740,103
191403,649,12
191503,785,148
191603,494,-143
191703,742,105
191803,539,-98
191903,712,75
192003,694,57
192103,526,-111
192203,703,66
192303,737,100
192403,787,150
192503,532,-105
192603,685,48
192703,639,2
192803,555,-82
192903,680,43
193003,721,84
193103,714,77
193203,730,93
193303,591,-46
193403,531,-106
193503,589,-48
193603,591,-46
193703,732,95
193803,608,-29
193903,623,-14
194003,579,-58
194103,701,64
194203,737,100
194303,622,-15
194403,714,77
194503,681,44
194603,604,-33
194703,642,5
194803,802,165
194903,617,-20
195003,608,-29
195103,672,35
195203,775,138
195303,576,-61
195403,664,27
195503,633,-4
195603,602,-35
195703,628,-9
195803,792,155
195903,681,44
196003,583,-54
196103,628,-9
196203,784,147
196303,637,0
196403,754,117
196503,770,133
196603,610,-27
196703,482,-155
196803,667,30
196903,820,183
197003,738,101
197103,603,-34
197203,460,-177
197303,721,84
197403,483,-154
197503,670,33
197603,645,8
197703,734,97
197803,558,-79
197903,658,21
198003,686,49
198103,662,25
198203,597,-40
198303,635,-2
198403,641,4
198503,593,-44
198603,521,-116
198703,715,78
198803,653,16
198903,476,-161
199003,581,-56
199103,660,23
199203,586,-51
199303,589,-48
199403,556,-81
199503,559,-78
199603,632,-5
199703,516,-121
199803,646,9
199903,525,-112
200003,574,-63
200103,602,-35
200203,623,-14
200303,595,-42
200403,447,-190
200503,642,5
200603,576,-61
200703,520,-117
200803,591,-46
200903,520,-117
201003,655,18
201103,457,-180
201203,521,-116
201303,534,-103
201403,551,-86
201503,499,-138
