Idaho, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,389,17
189605,533,161
189705,193,-179
189805,380,8
189905,502,130
190005,308,-64
190105,274,-98
190205,366,-6
190305,432,60
190405,374,2
190505,438,66
190605,387,15
190705,377,5
190805,492,120
190905,465,93
191005,323,-49
191105,464,92
191205,419,47
191305,344,-28
191405,295,-77
191505,422,50
191605,514,142
191705,451,79
191805,441,69
191905,335,-37
192005,439,67
192105,364,-8
192205,414,42
192305,384,12
192405,250,-122
192505,281,-91
192605,341,-31
192705,463,91
192805,231,-141
192905,392,20
193005,414,42
193105,308,-64
193205,357,-15
193305,501,129
193405,207,-165
193505,422,50
193605,244,-128
193705,311,-61
193805,407,35
193905,279,-93
194005,262,-110
194105,326,-46
194205,468,96
194305,451,79
194405,340,-32
194505,372,0
194605,367,-5
194705,255,-117
194805,376,4
194905,277,-95
195005,458,86
195105,362,-10
195205,338,-34
195305,498,126
195405,306,-66
195505,449,77
195605,303,-69
195705,325,-47
195805,202,-170
195905,491,119
196005,428,56
196105,353,-19
196205,422,50
196305,318,-54
196405,416,44
196505,447,75
196605,286,-86
196705,401,29
196805,413,41
196905,274,-98
197005,384,12
197105,349,-23
197205,336,-36
197305,335,-37
197405,443,71
197505,469,97
197605,321,-51
197705,480,108
197805,450,78
197905,351,-21
198005,374,2
198105,409,37
198205,432,60
198305,396,24
198405,424,52
198505,314,-58
198605,357,-15
198705,265,-107
198805,359,-13
198905,394,22
199005,426,54
199105,452,80
199205,219,-153
199305,248,-124
199405,279,-93
199505,395,23
199605,452,80
199705,287,-85
199805,388,16
199905,450,78
200005,344,-28
200105,283,-89
200205,382,10
200305,358,-14
200405,378,6
200505,355,-17
200605,305,-67
200705,291,-81
200805,369,-3
200905,329,-43
201005,525,153
201105,480,108
201205,383,11
201305,318,-54
201405,307,-65
201505,297,-75
