New Mexico, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,917,181
189602,776,40
189702,756,20
189802,638,-98
189902,864,128
190002,742,6
190102,725,-11
190202,718,-18
190302,918,182
190402,603,-133
190502,825,89
190602,720,-16
190702,596,-140
190802,744,8
190902,754,18
191002,807,71
191102,759,23
191202,796,60
191302,830,94
191402,759,23
191502,781,45
191602,643,-93
191702,762,26
191802,664,-72
191902,859,123
192002,652,-84
192102,718,-18
192202,740,4
192302,781,45
192402,713,-23
192502,660,-76
192602,661,-75
192702,624,-112
192802,782,46
192902,889,153
193002,630,-106
193102,718,-18
193202,647,-89
193302,918,182
193402,628,-108
193502,750,14
193602,731,-5
193702,776,40
193802,703,-33
193902,965,229
194002,779,43
194102,674,-62
194202,850,114
194302,656,-80
194402,758,22
194502,679,-57
194602,767,31
194702,708,-28
194802,803,67
194902,816,80
195002,647,-89
195102,761,25
195202,779,43
195302,804,68
195402,602,-134
195502,884,148
195602,876,140
195702,527,-209
195802,675,-61
195902,763,27
196002,878,142
196102,733,-3
196202,636,-100
196302,707,-29
196402,982,246
196502,811,75
196602,897,161
196702,712,-24
196802,679,-57
196902,758,22
197002,678,-58
197102,762,26
197202,689,-47
197302,806,70
197402,814,78
197502,783,47
197602,608,-128
197702,734,-2
197802,777,41
197902,775,39
198002,680,-56
198102,678,-58
198202,755,19
198302,734,-2
198402,763,27
198502,802,66
198602,642,-94
198702,756,20
198802,695,-41
198902,710,-26
199002,764,28
199102,659,-77
199202,701,-35
199302,709,-27
199402,752,16
199502,561,-175
199602,581,-155
199702,748,12
199802,754,18
199902,611,-125
200002,581,-155
200102,692,-44
200202,758,22
200302,705,-31
200402,812,76
200502,671,-65
200602,663,-73
200702,694,-42
200802,686,-50
200902,632,-104
201002,793,57
201102,813,77
201202,721,-15
201302,791,55
201402,599,-137
201502,626,-110
