South Carolina, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,813,294
189602,509,-10
189702,457,-62
189802,598,79
189902,631,112
190002,615,96
190102,633,114
190202,718,199
190302,487,-32
190402,610,91
190502,747,228
190602,551,32
190702,574,55
190802,638,119
190902,414,-105
191002,610,91
191102,406,-113
191202,677,158
191302,506,-13
191402,619,100
191502,513,-6
191602,507,-12
191702,538,19
191802,407,-112
191902,558,39
192002,618,99
192102,466,-53
192202,381,-138
192302,564,45
192402,608,89
192502,387,-132
192602,467,-52
192702,285,-234
192802,545,26
192902,567,48
193002,405,-114
193102,509,-10
193202,334,-185
193302,493,-26
193402,690,171
193502,523,4
193602,624,105
193702,536,17
193802,381,-138
193902,371,-148
194002,570,51
194102,680,161
194202,676,157
194302,491,-28
194402,408,-111
194502,448,-71
194602,461,-58
194702,682,163
194802,516,-3
194902,353,-166
195002,411,-108
195102,506,-13
195202,478,-41
195302,457,-62
195402,410,-109
195502,493,-26
195602,401,-118
195702,346,-173
195802,727,208
195902,464,-55
196002,586,67
196102,456,-63
196202,413,-106
196302,679,160
196402,641,122
196502,523,4
196602,557,38
196702,616,97
196802,711,192
196902,609,90
197002,563,44
197102,554,35
197202,577,58
197302,606,87
197402,485,-34
197502,423,-96
197602,356,-163
197702,594,75
197802,739,220
197902,646,127
198002,656,137
198102,530,11
198202,446,-73
198302,563,44
198402,468,-51
198502,519,0
198602,395,-124
198702,564,45
198802,560,41
198902,451,-68
199002,324,-195
199102,426,-93
199202,418,-101
199302,567,48
199402,468,-51
199502,569,50
199602,493,-26
199702,420,-99
199802,446,-73
199902,445,-74
200002,442,-77
200102,398,-121
200202,491,-28
200302,522,3
200402,588,69
200502,476,-43
200602,525,6
200702,563,44
200802,417,-102
200902,519,0
201002,671,152
201102,420,-99
201202,417,-102
201302,527,8
201402,479,-40
201502,679,160
