Oregon, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,521,-6
189604,652,125
189704,450,-77
189804,498,-29
189904,595,68
190004,517,-10
190104,587,60
190204,571,44
190304,603,76
190404,459,-68
190504,456,-71
190604,441,-86
190704,516,-11
190804,507,-20
190904,566,39
191004,466,-61
191104,616,89
191204,597,70
191304,560,33
191404,488,-39
191504,434,-93
191604,518,-9
191704,628,101
191804,522,-5
191904,519,-8
192004,640,113
192104,570,43
192204,651,124
192304,528,1
192404,511,-16
192504,482,-45
192604,331,-196
192704,567,40
192804,565,38
192904,643,116
193004,436,-91
193104,459,-68
193204,530,3
193304,547,20
193404,334,-193
193504,544,17
193604,430,-97
193704,597,70
193804,495,-32
193904,433,-94
194004,465,-62
194104,473,-54
194204,500,-27
194304,449,-78
194404,551,24
194504,578,51
194604,523,-4
194704,447,-80
194804,634,107
194904,461,-66
195004,582,55
195104,451,-76
195204,490,-37
195304,567,40
195404,542,15
195504,687,160
195604,494,-33
195704,496,-31
195804,536,9
195904,493,-34
196004,526,-1
196104,540,13
196204,467,-60
196304,618,91
196404,609,82
196504,494,-33
196604,484,-43
196704,676,149
196804,589,62
196904,552,25
197004,655,128
197104,591,64
197204,635,108
197304,528,1
197404,560,33
197504,680,153
197604,592,65
197704,479,-48
197804,553,26
197904,528,1
198004,480,-47
198104,512,-15
198204,627,100
198304,544,17
198404,592,65
198504,463,-64
198604,562,35
198704,412,-115
198804,491,-36
198904,392,-135
199004,412,-115
199104,573,46
199204,415,-112
199304,533,6
199404,465,-62
199504,552,25
199604,476,-51
199704,541,14
199804,510,-17
199904,560,33
200004,444,-83
200104,590,63
200204,506,-21
200304,582,55
200404,427,-100
200504,520,-7
200604,500,-27
200704,523,-4
200804,638,111
200904,551,24
201004,575,48
201104,653,126
201204,492,-35
201304,496,-31
201404,472,-55
201504,511,-16
