Idaho, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1321,63
189601,1125,-133
189701,1247,-11
189801,1433,175
189901,1156,-102
190001,1073,-185
190101,1165,-93
190201,1280,22
190301,1209,-49
190401,1247,-11
190501,1174,-84
190601,1239,-19
190701,1330,72
190801,1179,-79
190901,1150,-108
191001,1399,141
191101,1196,-62
191201,1265,7
191301,1353,95
191401,1108,-150
191501,1333,75
191601,1449,191
191701,1484,226
191801,1111,-147
191901,1210,-48
192001,1254,-4
192101,1159,-99
192201,1524,266
192301,1133,-125
192401,1405,147
192501,1224,-34
192601,1246,-12
192701,1217,-41
192801,1219,-39
192901,1536,278
193001,1616,358
193101,1261,3
193201,1395,137
193301,1256,-2
193401,979,-279
193501,1227,-31
193601,1249,-9
193701,1740,482
193801,1117,-141
193901,1141,-117
194001,1178,-80
194101,1148,-110
194201,1413,155
194301,1276,18
194401,1361,103
194501,1158,-100
194601,1258,0
194701,1385,127
194801,1194,-64
194901,1810,552
195001,1427,169
195101,1268,10
195201,1350,92
195301,898,-360
195401,1098,-160
195501,1372,114
195601,1135,-123
195701,1509,251
195801,1213,-45
195901,1107,-151
196001,1363,105
196101,1174,-84
196201,1444,186
196301,1408,150
196401,1308,50
196501,1120,-138
196601,1145,-113
196701,1054,-204
196801,1261,3
196901,1204,-54
197001,1109,-149
197101,1154,-104
197201,1272,14
197301,1275,17
197401,1294,36
197501,1299,41
197601,1192,-66
197701,1398,140
197801,1067,-191
197901,1604,346
198001,1251,-7
198101,1053,-205
198201,1319,61
198301,1069,-189
198401,1340,82
198501,1456,198
198601,1179,-79
198701,1293,35
198801,1305,47
198901,1338,80
199001,1086,-172
199101,1324,66
199201,1131,-127
199301,1364,106
199401,1061,-197
199501,1095,-163
199601,1174,-84
199701,1174,-84
199801,1047,-211
199901,1085,-173
200001,1134,-124
200101,1252,-6
200201,1204,-54
200301,976,-282
200401,1254,-4
200501,1141,-117
200601,1054,-204
200701,1288,30
200801,1317,59
200901,1189,-69
201001,1066,-192
201101,1215,-43
201201,1100,-158
201301,1382,124
201401,1117,-141
201501,1095,-163
