Connecticut, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,604,45
189604,506,-53
189704,543,-16
189804,643,84
189904,566,7
190004,553,-6
190104,591,32
190204,553,-6
190304,553,-6
190404,654,95
190504,578,19
190604,567,8
190704,703,144
190804,566,7
190904,586,27
191004,449,-110
191104,659,100
191204,591,32
191304,531,-28
191404,655,96
191504,458,-101
191604,634,75
191704,644,85
191804,571,12
191904,610,51
192004,664,105
192104,399,-160
192204,549,-10
192304,570,11
192404,611,52
192504,520,-39
192604,691,132
192704,611,52
192804,646,87
192904,581,22
193004,625,66
193104,543,-16
193204,615,56
193304,580,21
193404,552,-7
193504,586,27
193604,643,84
193704,604,45
193804,490,-69
193904,648,89
194004,673,114
194104,408,-151
194204,471,-88
194304,708,149
194404,638,79
194504,407,-152
194604,601,42
194704,589,30
194804,561,2
194904,490,-69
195004,637,78
195104,497,-62
195204,456,-103
195304,520,-39
195404,500,-59
195504,480,-79
195604,662,103
195704,484,-75
195804,528,-31
195904,493,-66
196004,470,-89
196104,613,54
196204,532,-27
196304,546,-13
196404,585,26
196504,617,58
196604,648,89
196704,612,53
196804,456,-103
196904,483,-76
197004,565,6
197104,623,64
197204,669,110
197304,494,-65
197404,478,-81
197504,662,103
197604,439,-120
197704,505,-54
197804,586,27
197904,557,-2
198004,507,-52
198104,466,-93
198204,614,55
198304,531,-28
198404,555,-4
198504,470,-89
198604,473,-86
198704,494,-65
198804,568,9
198904,586,27
199004,524,-35
199104,423,-136
199204,611,52
199304,516,-43
199404,470,-89
199504,573,14
199604,539,-20
199704,574,15
199804,481,-78
199904,499,-60
200004,555,-4
200104,497,-62
200204,436,-123
200304,606,47
200404,502,-57
200504,464,-95
200604,469,-90
200704,593,34
200804,456,-103
200904,460,-99
201004,380,-179
201104,471,-88
201204,443,-116
201304,516,-43
201404,537,-22
201504,527,-32
