Oklahoma, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1030,145
189601,836,-49
189701,979,94
189801,799,-86
189901,925,40
190001,780,-105
190101,786,-99
190201,913,28
190301,846,-39
190401,915,30
190501,1139,254
190601,803,-82
190701,704,-181
190801,771,-114
190901,812,-73
191001,804,-81
191101,714,-171
191201,1098,213
191301,853,-32
191401,676,-209
191501,890,5
191601,932,47
191701,817,-68
191801,1255,370
191901,853,-32
192001,933,48
192101,671,-214
192201,933,48
192301,588,-297
192401,990,105
192501,955,70
192601,868,-17
192701,847,-38
192801,784,-101
192901,948,63
193001,1291,406
193101,751,-134
193201,797,-88
193301,602,-283
193401,742,-143
193501,743,-142
193601,963,78
193701,1055,170
193801,758,-127
193901,680,-205
194001,1288,403
194101,759,-126
194201,904,19
194301,876,-9
194401,826,-59
194501,842,-43
194601,840,-45
194701,845,-40
194801,1050,165
194901,1067,182
195001,838,-47
195101,846,-39
195201,657,-228
195301,728,-157
195401,860,-25
195501,816,-69
195601,916,31
195701,976,91
195801,830,-55
195901,969,84
196001,893,8
196101,938,53
196201,1038,153
196301,1111,226
196401,784,-101
196501,787,-98
196601,1012,127
196701,771,-114
196801,887,2
196901,852,-33
197001,1054,169
197101,895,10
197201,913,28
197301,979,94
197401,943,58
197501,791,-94
197601,856,-29
197701,1167,282
197801,1228,343
197901,1274,389
198001,854,-31
198101,849,-36
198201,969,84
198301,865,-20
198401,988,103
198501,1078,193
198601,721,-164
198701,923,38
198801,994,109
198901,710,-175
199001,657,-228
199101,981,96
199201,755,-130
199301,909,24
199401,914,29
199501,810,-75
199601,918,33
199701,886,1
199801,761,-124
199901,788,-97
200001,767,-118
200101,911,26
200201,774,-111
200301,878,-7
200401,807,-78
200501,790,-95
200601,561,-324
200701,921,36
200801,825,-60
200901,870,-15
201001,936,51
201101,936,51
201201,686,-199
201301,771,-114
201401,907,22
201501,847,-38
