South Carolina, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,36,13
189605,0,-23
189705,29,6
189805,5,-18
189905,5,-18
190005,19,-4
190105,14,-9
190205,4,-19
190305,16,-7
190405,23,0
190505,6,-17
190605,22,-1
190705,25,2
190805,12,-11
190905,29,6
191005,30,7
191105,10,-13
191205,12,-11
191305,15,-8
191405,13,-10
191505,10,-13
191605,6,-17
191705,66,43
191805,11,-12
191905,16,-7
192005,45,22
192105,42,19
192205,18,-5
192305,41,18
192405,44,21
192505,40,17
192605,17,-6
192705,12,-11
192805,41,18
192905,26,3
193005,11,-12
193105,37,14
193205,26,3
193305,3,-20
193405,27,4
193505,17,-6
193605,8,-15
193705,18,-5
193805,12,-11
193905,25,2
194005,37,14
194105,11,-12
194205,16,-7
194305,10,-13
194405,7,-16
194505,44,21
194605,26,3
194705,15,-8
194805,14,-9
194905,16,-7
195005,9,-14
195105,26,3
195205,12,-11
195305,2,-21
195405,62,39
195505,8,-15
195605,12,-11
195705,15,-8
195805,17,-6
195905,8,-15
196005,29,6
196105,49,26
196205,0,-23
196305,26,3
196405,16,-7
196505,4,-19
196605,29,6
196705,44,21
196805,37,14
196905,27,4
197005,16,-7
197105,44,21
197205,50,27
197305,40,17
197405,13,-10
197505,8,-15
197605,51,28
197705,12,-11
197805,31,8
197905,25,2
198005,22,-1
198105,41,18
198205,9,-14
198305,29,6
198405,32,9
198505,18,-5
198605,15,-8
198705,9,-14
198805,35,12
198905,48,25
199005,21,-2
199105,6,-17
199205,56,33
199305,22,-1
199405,44,21
199505,12,-11
199605,11,-12
199705,61,38
199805,8,-15
199905,34,11
200005,6,-17
200105,16,-7
200205,35,12
200305,22,-1
200405,4,-19
200505,44,21
200605,31,8
200705,27,4
200805,29,6
200905,16,-7
201005,6,-17
201105,14,-9
201205,8,-15
201305,41,18
201405,13,-10
201505,11,-12
