Kentucky, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1146,339
189602,822,15
189702,753,-54
189802,804,-3
189902,1120,313
190002,951,144
190102,956,149
190202,1079,272
190302,812,5
190402,900,93
190502,1089,282
190602,890,83
190702,864,57
190802,865,58
190902,677,-130
191002,931,124
191102,671,-136
191202,1026,219
191302,883,76
191402,963,156
191502,682,-125
191602,873,66
191702,882,75
191802,761,-46
191902,786,-21
192002,867,60
192102,704,-103
192202,707,-100
192302,894,87
192402,854,47
192502,619,-188
192602,722,-85
192702,590,-217
192802,806,-1
192902,987,180
193002,581,-226
193102,708,-99
193202,562,-245
193302,809,2
193402,984,177
193502,751,-56
193602,971,164
193702,796,-11
193802,583,-224
193902,718,-89
194002,851,44
194102,932,125
194202,912,105
194302,751,-56
194402,676,-131
194502,782,-25
194602,728,-79
194702,1046,239
194802,771,-36
194902,659,-148
195002,746,-61
195102,803,-4
195202,704,-103
195302,697,-110
195402,605,-202
195502,787,-20
195602,670,-137
195702,652,-155
195802,1080,273
195902,765,-42
196002,920,113
196102,686,-121
196202,703,-104
196302,1006,199
196402,904,97
196502,837,30
196602,848,41
196702,935,128
196802,1026,219
196902,827,20
197002,893,86
197102,848,41
197202,856,49
197302,835,28
197402,758,-49
197502,733,-74
197602,593,-214
197702,875,68
197802,1178,371
197902,1045,238
198002,1005,198
198102,798,-9
198202,830,23
198302,772,-35
198402,680,-127
198502,934,127
198602,711,-96
198702,741,-66
198802,855,48
198902,880,73
199002,581,-226
199102,720,-87
199202,646,-161
199302,868,61
199402,772,-35
199502,846,39
199602,806,-1
199702,651,-156
199802,638,-169
199902,668,-139
200002,615,-192
200102,670,-137
200202,741,-66
200302,891,84
200402,792,-15
200502,681,-126
200602,807,0
200702,998,191
200802,780,-27
200902,736,-71
201002,972,165
201102,733,-74
201202,671,-136
201302,796,-11
201402,901,94
201502,1091,284
