New Mexico, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,355,-31
189604,355,-31
189704,349,-37
189804,310,-76
189904,365,-21
190004,488,102
190104,431,45
190204,285,-101
190304,380,-6
190404,330,-56
190504,457,71
190604,397,11
190704,373,-13
190804,376,-10
190904,410,24
191004,341,-45
191104,362,-24
191204,507,121
191304,420,34
191404,363,-23
191504,395,9
191604,400,14
191704,445,59
191804,429,43
191904,371,-15
192004,516,130
192104,458,72
192204,437,51
192304,394,8
192404,435,49
192504,289,-97
192604,422,36
192704,345,-41
192804,433,47
192904,383,-3
193004,278,-108
193104,405,19
193204,371,-15
193304,509,123
193404,288,-98
193504,357,-29
193604,341,-45
193704,380,-6
193804,384,-2
193904,356,-30
194004,388,2
194104,497,111
194204,384,-2
194304,259,-127
194404,468,82
194504,455,69
194604,244,-142
194704,411,25
194804,293,-93
194904,397,11
195004,316,-70
195104,418,32
195204,388,2
195304,393,7
195404,241,-145
195504,400,14
195604,424,38
195704,430,44
195804,446,60
195904,353,-33
196004,339,-47
196104,392,6
196204,305,-81
196304,332,-54
196404,438,52
196504,371,-15
196604,360,-26
196704,330,-56
196804,468,82
196904,327,-59
197004,477,91
197104,427,41
197204,341,-45
197304,555,169
197404,389,3
197504,504,118
197604,381,-5
197704,377,-9
197804,324,-62
197904,395,9
198004,451,65
198104,287,-99
198204,369,-17
198304,548,162
198404,442,56
198504,329,-57
198604,313,-73
198704,412,26
198804,397,11
198904,244,-142
199004,320,-66
199104,380,-6
199204,291,-95
199304,357,-29
199404,354,-32
199504,442,56
199604,332,-54
199704,451,65
199804,476,90
199904,411,25
200004,270,-116
200104,313,-73
200204,219,-167
200304,347,-39
200404,383,-3
200504,373,-13
200604,255,-131
200704,371,-15
200804,379,-7
200904,373,-13
201004,345,-41
201104,272,-114
201204,248,-138
201304,337,-49
201404,355,-31
201504,351,-35
