Arizona, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,586,78
189612,434,-74
189712,588,80
189812,616,108
189912,470,-38
190012,485,-23
190112,535,27
190212,530,22
190312,529,21
190412,518,10
190512,610,102
190612,433,-75
190712,478,-30
190812,487,-21
190912,637,129
191012,423,-85
191112,703,195
191212,638,130
191312,565,57
191412,587,79
191512,540,32
191612,637,129
191712,408,-100
191812,590,82
191912,463,-45
192012,604,96
192112,397,-111
192212,439,-69
192312,553,45
192412,591,83
192512,513,5
192612,560,52
192712,594,86
192812,548,40
192912,425,-83
193012,567,59
193112,629,121
193212,644,136
193312,469,-39
193412,445,-63
193512,495,-13
193612,520,12
193712,412,-96
193812,448,-60
193912,370,-138
194012,387,-121
194112,488,-20
194212,438,-70
194312,502,-6
194412,502,-6
194512,575,67
194612,433,-75
194712,600,92
194812,546,38
194912,540,32
195012,350,-158
195112,543,35
195212,562,54
195312,598,90
195412,479,-29
195512,404,-104
195612,504,-4
195712,441,-67
195812,384,-124
195912,481,-27
196012,553,45
196112,541,33
196212,423,-85
196312,505,-3
196412,500,-8
196512,490,-18
196612,501,-7
196712,642,134
196812,602,94
196912,447,-61
197012,513,5
197112,609,101
197212,579,71
197312,467,-41
197412,611,103
197512,491,-17
197612,505,-3
197712,360,-148
197812,598,90
197912,423,-85
198012,326,-182
198112,403,-105
198212,541,33
198312,446,-62
198412,524,16
198512,473,-35
198612,495,-13
198712,587,79
198812,511,3
198912,485,-23
199012,589,81
199112,469,-39
199212,566,58
199312,494,-14
199412,461,-47
199512,415,-93
199612,438,-70
199712,570,62
199812,478,-30
199912,491,-17
200012,433,-75
200112,561,53
200212,519,11
200312,467,-41
200412,480,-28
200512,440,-68
200612,517,9
200712,565,57
200812,477,-31
200912,557,49
201012,363,-145
201112,567,59
201212,473,-35
201312,493,-15
201412,436,-72
201512,537,29
