New Mexico, Heating Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189510,387,67
189610,375,55
189710,335,15
189810,346,26
189910,340,20
190010,310,-10
190110,295,-25
190210,304,-16
190310,374,54
190410,362,42
190510,366,46
190610,385,65
190710,319,-1
190810,448,128
190910,321,1
191010,324,4
191110,370,50
191210,389,69
191310,374,54
191410,350,30
191510,328,8
191610,336,16
191710,313,-7
191810,298,-22
191910,360,40
192010,368,48
192110,260,-60
192210,311,-9
192310,413,93
192410,307,-13
192510,337,17
192610,267,-53
192710,317,-3
192810,271,-49
192910,348,28
193010,331,11
193110,265,-55
193210,390,70
193310,261,-59
193410,238,-82
193510,292,-28
193610,364,44
193710,278,-42
193810,284,-36
193910,357,37
194010,290,-30
194110,340,20
194210,336,16
194310,347,27
194410,286,-34
194510,303,-17
194610,332,12
194710,243,-77
194810,328,8
194910,382,62
195010,159,-161
195110,292,-28
195210,280,-40
195310,320,0
195410,238,-82
195510,263,-57
195610,264,-56
195710,372,52
195810,348,28
195910,327,7
196010,349,29
196110,336,16
196210,284,-36
196310,213,-107
196410,282,-38
196510,310,-10
196610,343,23
196710,294,-26
196810,279,-41
196910,366,46
197010,463,143
197110,379,59
197210,281,-39
197310,305,-15
197410,315,-5
197510,323,3
197610,454,134
197710,270,-50
197810,275,-45
197910,243,-77
198010,392,72
198110,320,0
198210,380,60
198310,286,-34
198410,444,124
198510,326,6
198610,381,61
198710,241,-79
198810,234,-86
198910,317,-3
199010,314,-6
199110,281,-39
199210,249,-71
199310,357,37
199410,338,18
199510,283,-37
199610,328,8
199710,328,8
199810,284,-36
199910,288,-32
200010,321,1
200110,240,-80
200210,345,25
200310,184,-136
200410,317,-3
200510,285,-35
200610,334,14
200710,257,-63
200810,295,-25
200910,352,32
201010,242,-78
201110,285,-35
201210,252,-68
201310,366,46
201410,228,-92
201510,220,-100
