Arizona, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,384,1
189602,327,-56
189702,459,76
189802,297,-86
189902,442,59
190002,366,-17
190102,383,0
190202,379,-4
190302,547,164
190402,294,-89
190502,383,0
190602,330,-53
190702,280,-103
190802,398,15
190902,420,37
191002,421,38
191102,423,40
191202,396,13
191302,447,64
191402,393,10
191502,424,41
191602,285,-98
191702,426,43
191802,380,-3
191902,512,129
192002,338,-45
192102,349,-34
192202,423,40
192302,421,38
192402,338,-45
192502,316,-67
192602,348,-35
192702,324,-59
192802,418,35
192902,487,104
193002,292,-91
193102,358,-25
193202,384,1
193302,573,190
193402,283,-100
193502,350,-33
193602,404,21
193702,436,53
193802,389,6
193902,609,226
194002,378,-5
194102,322,-61
194202,483,100
194302,299,-84
194402,472,89
194502,389,6
194602,448,65
194702,304,-79
194802,462,79
194902,500,117
195002,311,-72
195102,397,14
195202,441,58
195302,434,51
195402,248,-135
195502,518,135
195602,523,140
195702,233,-150
195802,330,-53
195902,438,55
196002,514,131
196102,352,-31
196202,366,-17
196302,262,-121
196402,533,150
196502,427,44
196602,524,141
196702,347,-36
196802,273,-110
196902,433,50
197002,303,-80
197102,391,8
197202,322,-61
197302,405,22
197402,423,40
197502,442,59
197602,304,-79
197702,329,-54
197802,380,-3
197902,423,40
198002,302,-81
198102,310,-73
198202,337,-46
198302,385,2
198402,386,3
198502,429,46
198602,314,-69
198702,384,1
198802,303,-80
198902,329,-54
199002,440,57
199102,252,-131
199202,317,-66
199302,394,11
199402,412,29
199502,242,-141
199602,251,-132
199702,373,-10
199802,460,77
199902,300,-83
200002,292,-91
200102,410,27
200202,329,-54
200302,360,-23
200402,447,64
200502,349,-34
200602,296,-87
200702,335,-48
200802,377,-6
200902,325,-58
201002,375,-8
201102,463,80
201202,352,-31
201302,444,61
201402,250,-133
201502,213,-170
