Montana, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,657,-103
189604,840,80
189704,698,-62
189804,714,-46
189904,841,81
190004,648,-112
190104,777,17
190204,810,50
190304,819,59
190404,700,-60
190504,740,-20
190604,644,-116
190704,863,103
190804,680,-80
190904,949,189
191004,544,-216
191104,815,55
191204,730,-30
191304,721,-39
191404,733,-27
191504,539,-221
191604,749,-11
191704,901,141
191804,830,70
191904,685,-75
192004,959,199
192104,808,48
192204,844,84
192304,802,42
192404,810,50
192504,658,-102
192604,666,-94
192704,828,68
192804,846,86
192904,859,99
193004,554,-206
193104,731,-29
193204,722,-38
193304,825,65
193404,587,-173
193504,911,151
193604,764,4
193704,773,13
193804,738,-22
193904,664,-96
194004,772,12
194104,722,-38
194204,671,-89
194304,613,-147
194404,718,-42
194504,890,130
194604,626,-134
194704,748,-12
194804,760,0
194904,610,-150
195004,846,86
195104,830,70
195204,637,-123
195304,886,126
195404,828,68
195504,847,87
195604,806,46
195704,817,57
195804,791,31
195904,777,17
196004,783,23
196104,843,83
196204,661,-99
196304,791,31
196404,802,42
196504,753,-7
196604,838,78
196704,906,146
196804,848,88
196904,645,-115
197004,934,174
197104,777,17
197204,811,51
197304,846,86
197404,702,-58
197504,1000,240
197604,737,-23
197704,649,-111
197804,731,-29
197904,823,63
198004,622,-138
198104,689,-71
198204,890,130
198304,820,60
198404,781,21
198504,660,-100
198604,757,-3
198704,556,-204
198804,656,-104
198904,740,-20
199004,694,-66
199104,785,25
199204,657,-103
199304,747,-13
199404,697,-63
199504,823,63
199604,723,-37
199704,903,143
199804,690,-70
199904,798,38
200004,672,-88
200104,762,2
200204,834,74
200304,682,-78
200404,653,-107
200504,722,-38
200604,653,-107
200704,736,-24
200804,868,108
200904,782,22
201004,748,-12
201104,861,101
201204,640,-120
201304,848,88
201404,740,-20
201504,702,-58
