Connecticut, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1276,213
189602,1077,14
189702,1069,6
189802,1029,-34
189902,1189,126
190002,1087,24
190102,1253,190
190202,1132,69
190302,1032,-31
190402,1278,215
190502,1297,234
190602,1076,13
190702,1323,260
190802,1193,130
190902,958,-105
191002,1097,34
191102,1135,72
191202,1181,118
191302,1139,76
191402,1262,199
191502,977,-86
191602,1204,141
191702,1188,125
191802,1163,100
191902,1018,-45
192002,1183,120
192102,1021,-42
192202,1036,-27
192302,1274,211
192402,1186,123
192502,881,-182
192602,1141,78
192702,982,-81
192802,1071,8
192902,1065,2
193002,958,-105
193102,1070,7
193202,1003,-60
193302,985,-78
193402,1427,364
193502,1099,36
193602,1273,210
193702,951,-112
193802,983,-80
193902,973,-90
194002,1057,-6
194102,1083,20
194202,1115,52
194302,1048,-15
194402,1073,10
194502,1054,-9
194602,1110,47
194702,1112,49
194802,1175,112
194902,916,-147
195002,1095,32
195102,946,-117
195202,976,-87
195302,890,-173
195402,855,-208
195502,994,-69
195602,958,-105
195702,928,-135
195802,1180,117
195902,1110,47
196002,905,-158
196102,1004,-59
196202,1129,66
196302,1194,131
196402,1089,26
196502,1076,13
196602,1030,-33
196702,1144,81
196802,1158,95
196902,1057,-6
197002,1037,-26
197102,1020,-43
197202,1109,46
197302,1057,-6
197402,1082,19
197502,1005,-58
197602,886,-177
197702,1065,2
197802,1236,173
197902,1292,229
198002,1122,59
198102,866,-197
198202,1010,-53
198302,973,-90
198402,843,-220
198502,986,-77
198602,1080,17
198702,1057,-6
198802,1005,-58
198902,1025,-38
199002,887,-176
199102,877,-186
199202,962,-101
199302,1147,84
199402,1160,97
199502,1074,11
199602,1030,-33
199702,846,-217
199802,817,-246
199902,914,-149
200002,922,-141
200102,971,-92
200202,849,-214
200302,1135,72
200402,1000,-63
200502,973,-90
200602,976,-87
200702,1145,82
200802,965,-98
200902,954,-109
201002,967,-96
201102,1038,-25
201202,819,-244
201302,982,-81
201402,1094,31
201502,1362,299
