Massachusetts, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,637,41
189604,559,-37
189704,562,-34
189804,702,106
189904,604,8
190004,608,12
190104,644,48
190204,573,-23
190304,590,-6
190404,676,80
190504,611,15
190604,610,14
190704,727,131
190804,626,30
190904,623,27
191004,476,-120
191104,687,91
191204,611,15
191304,578,-18
191404,689,93
191504,504,-92
191604,670,74
191704,706,110
191804,603,7
191904,624,28
192004,691,95
192104,467,-129
192204,597,1
192304,610,14
192404,649,53
192504,561,-35
192604,729,133
192704,613,17
192804,662,66
192904,610,14
193004,624,28
193104,554,-42
193204,629,33
193304,628,32
193404,578,-18
193504,628,32
193604,663,67
193704,657,61
193804,538,-58
193904,701,105
194004,718,122
194104,460,-136
194204,512,-84
194304,732,136
194404,684,88
194504,436,-160
194604,639,43
194704,621,25
194804,590,-6
194904,508,-88
195004,647,51
195104,523,-73
195204,505,-91
195304,553,-43
195404,534,-62
195504,544,-52
195604,692,96
195704,518,-78
195804,558,-38
195904,553,-43
196004,546,-50
196104,656,60
196204,557,-39
196304,591,-5
196404,623,27
196504,673,77
196604,677,81
196704,666,70
196804,502,-94
196904,516,-80
197004,586,-10
197104,665,69
197204,719,123
197304,519,-77
197404,513,-83
197504,699,103
197604,457,-139
197704,536,-60
197804,634,38
197904,596,0
198004,544,-52
198104,497,-99
198204,643,47
198304,563,-33
198404,600,4
198504,539,-57
198604,520,-76
198704,562,-34
198804,603,7
198904,644,48
199004,573,-23
199104,479,-117
199204,651,55
199304,566,-30
199404,507,-89
199504,624,28
199604,575,-21
199704,628,32
199804,523,-73
199904,536,-60
200004,579,-17
200104,560,-36
200204,481,-115
200304,655,59
200404,531,-65
200504,501,-95
200604,506,-90
200704,638,42
200804,510,-86
200904,487,-109
201004,420,-176
201104,506,-90
201204,463,-133
201304,544,-52
201404,559,-37
201504,568,-28
