New Mexico, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,66,-6
189609,62,-10
189709,55,-17
189809,77,5
189909,52,-20
190009,80,8
190109,66,-6
190209,91,19
190309,95,23
190409,71,-1
190509,70,-2
190609,88,16
190709,78,6
190809,91,19
190909,97,25
191009,42,-30
191109,41,-31
191209,135,63
191309,144,72
191409,57,-15
191509,95,23
191609,83,11
191709,64,-8
191809,82,10
191909,64,-8
192009,78,6
192109,48,-24
192209,41,-31
192309,111,39
192409,73,1
192509,73,1
192609,45,-27
192709,84,12
192809,85,13
192909,75,3
193009,76,4
193109,40,-32
193209,99,27
193309,35,-37
193409,74,2
193509,93,21
193609,88,16
193709,47,-25
193809,79,7
193909,47,-25
194009,59,-13
194109,89,17
194209,90,18
194309,66,-6
194409,77,5
194509,56,-16
194609,48,-24
194709,40,-32
194809,47,-25
194909,51,-21
195009,96,24
195109,52,-20
195209,60,-12
195309,51,-21
195409,39,-33
195509,48,-24
195609,36,-36
195709,84,12
195809,67,-5
195909,68,-4
196009,46,-26
196109,111,39
196209,58,-14
196309,43,-29
196409,70,-2
196509,101,29
196609,71,-1
196709,89,17
196809,98,26
196909,63,-9
197009,87,15
197109,95,23
197209,80,8
197309,88,16
197409,114,42
197509,112,40
197609,89,17
197709,46,-26
197809,79,7
197909,58,-14
198009,57,-15
198109,66,-6
198209,62,-10
198309,35,-37
198409,68,-4
198509,106,34
198609,98,26
198709,93,21
198809,106,34
198909,69,-3
199009,50,-22
199109,92,20
199209,59,-13
199309,84,12
199409,59,-13
199509,60,-12
199609,105,33
199709,33,-39
199809,26,-46
199909,71,-1
200009,32,-40
200109,41,-31
200209,59,-13
200309,53,-19
200409,78,6
200509,40,-32
200609,132,60
200709,41,-31
200809,76,4
200909,76,4
201009,27,-45
201109,51,-21
201209,47,-25
201309,50,-22
201409,37,-35
201509,25,-47
