Texas, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,524,47
189612,457,-20
189712,589,112
189812,634,157
189912,527,50
190012,470,-7
190112,521,44
190212,486,9
190312,486,9
190412,480,3
190512,639,162
190612,338,-139
190712,438,-39
190812,391,-86
190912,675,198
191012,450,-27
191112,555,78
191212,563,86
191312,533,56
191412,687,210
191512,410,-67
191612,459,-18
191712,594,117
191812,453,-24
191912,528,51
192012,473,-4
192112,339,-138
192212,333,-144
192312,420,-57
192412,536,59
192512,600,123
192612,462,-15
192712,581,104
192812,513,36
192912,476,-1
193012,581,104
193112,443,-34
193212,586,109
193312,286,-191
193412,440,-37
193512,537,60
193612,430,-47
193712,486,9
193812,450,-27
193912,383,-94
194012,413,-64
194112,430,-47
194212,421,-56
194312,544,67
194412,565,88
194512,540,63
194612,362,-115
194712,460,-17
194812,370,-107
194912,406,-71
195012,473,-4
195112,397,-80
195212,518,41
195312,565,88
195412,398,-79
195512,458,-19
195612,377,-100
195712,384,-93
195812,562,85
195912,434,-43
196012,585,108
196112,484,7
196212,492,15
196312,688,211
196412,469,-8
196512,377,-100
196612,515,38
196712,506,29
196812,491,14
196912,416,-61
197012,298,-179
197112,348,-129
197212,575,98
197312,454,-23
197412,504,27
197512,464,-13
197612,562,85
197712,423,-54
197812,505,28
197912,466,-11
198012,424,-53
198112,445,-32
198212,434,-43
198312,745,268
198412,290,-187
198512,570,93
198612,520,43
198712,445,-32
198812,422,-55
198912,731,254
199012,508,31
199112,399,-78
199212,415,-62
199312,421,-56
199412,387,-90
199512,421,-56
199612,385,-92
199712,528,51
199812,438,-39
199912,422,-55
200012,635,158
200112,399,-78
200212,447,-30
200312,427,-50
200412,460,-17
200512,482,5
200612,424,-53
200712,399,-78
200812,451,-26
200912,601,124
201012,426,-51
201112,473,-4
201212,352,-125
201312,554,77
201412,368,-109
201512,332,-145
