Georgia, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,710,30
189601,711,31
189701,768,88
189801,567,-113
189901,690,10
190001,715,35
190101,679,-1
190201,755,75
190301,744,64
190401,828,148
190501,847,167
190601,647,-33
190701,450,-230
190801,739,59
190901,555,-125
191001,719,39
191101,571,-109
191201,842,162
191301,510,-170
191401,666,-14
191501,728,48
191601,510,-170
191701,567,-113
191801,937,257
191901,678,-2
192001,643,-37
192101,592,-88
192201,675,-5
192301,557,-123
192401,795,115
192501,658,-22
192601,735,55
192701,632,-48
192801,708,28
192901,618,-62
193001,653,-27
193101,712,32
193201,452,-228
193301,508,-172
193401,612,-68
193501,626,-54
193601,787,107
193701,380,-300
193801,669,-11
193901,614,-66
194001,1053,373
194101,661,-19
194201,719,39
194301,603,-77
194401,670,-10
194501,691,11
194601,644,-36
194701,559,-121
194801,843,163
194901,449,-231
195001,358,-322
195101,649,-31
195201,492,-188
195301,579,-101
195401,617,-63
195501,704,24
195601,746,66
195701,594,-86
195801,835,155
195901,725,45
196001,669,-11
196101,817,137
196201,720,40
196301,829,149
196401,737,57
196501,654,-26
196601,819,139
196701,635,-45
196801,778,98
196901,744,64
197001,900,220
197101,684,4
197201,546,-134
197301,703,23
197401,373,-307
197501,556,-124
197601,805,125
197701,1036,356
197801,932,252
197901,835,155
198001,643,-37
198101,833,153
198201,786,106
198301,767,87
198401,770,90
198501,871,191
198601,727,47
198701,730,50
198801,821,141
198901,534,-146
199001,520,-160
199101,649,-31
199201,656,-24
199301,558,-122
199401,803,123
199501,655,-25
199601,734,54
199701,621,-59
199801,573,-107
199901,558,-122
200001,673,-7
200101,749,69
200201,612,-68
200301,786,106
200401,700,20
200501,562,-118
200601,508,-172
200701,586,-94
200801,709,29
200901,676,-4
201001,805,125
201101,787,107
201201,558,-122
201301,504,-176
201401,882,202
201501,707,27
