Connecticut, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,226,-29
189605,163,-92
189705,257,2
189805,315,60
189905,248,-7
190005,287,32
190105,312,57
190205,275,20
190305,203,-52
190405,185,-70
190505,258,3
190605,248,-7
190705,414,159
190805,204,-51
190905,288,33
191005,278,23
191105,141,-114
191205,239,-16
191305,301,46
191405,197,-58
191505,335,80
191605,273,18
191705,486,231
191805,153,-102
191905,245,-10
192005,348,93
192105,257,2
192205,186,-69
192305,302,47
192405,362,107
192505,323,68
192605,303,48
192705,335,80
192805,315,60
192905,257,2
193005,203,-52
193105,243,-12
193205,235,-20
193305,171,-84
193405,187,-68
193505,324,69
193605,192,-63
193705,191,-64
193805,314,59
193905,203,-52
194005,265,10
194105,213,-42
194205,158,-97
194305,236,-19
194405,126,-129
194505,326,71
194605,285,30
194705,294,39
194805,290,35
194905,229,-26
195005,309,54
195105,231,-24
195205,310,55
195305,207,-48
195405,318,63
195505,170,-85
195605,353,98
195705,235,-20
195805,343,88
195905,172,-83
196005,229,-26
196105,323,68
196205,251,-4
196305,285,30
196405,184,-71
196505,167,-88
196605,349,94
196705,447,192
196805,306,51
196905,260,5
197005,226,-29
197105,308,53
197205,235,-20
197305,313,58
197405,316,61
197505,167,-88
197605,278,23
197705,193,-62
197805,273,18
197905,176,-79
198005,192,-63
198105,213,-42
198205,199,-56
198305,309,54
198405,293,38
198505,193,-62
198605,190,-65
198705,225,-30
198805,231,-24
198905,223,-32
199005,314,59
199105,113,-142
199205,261,6
199305,184,-71
199405,275,20
199505,283,28
199605,277,22
199705,322,67
199805,148,-107
199905,205,-50
200005,221,-34
200105,192,-63
200205,300,45
200305,309,54
200405,172,-83
200505,360,105
200605,238,-17
200705,178,-77
200805,297,42
200905,225,-30
201005,146,-109
201105,176,-79
201205,134,-121
201305,214,-41
201405,207,-48
201505,114,-141
