Indiana, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1314,302
189602,989,-23
189702,969,-43
189802,974,-38
189902,1260,248
190002,1146,134
190102,1234,222
190202,1275,263
190302,1048,36
190402,1215,203
190502,1307,295
190602,1082,70
190702,1065,53
190802,1090,78
190902,887,-125
191002,1129,117
191102,896,-116
191202,1248,236
191302,1134,122
191402,1269,257
191502,843,-169
191602,1098,86
191702,1148,136
191802,1001,-11
191902,950,-62
192002,1065,53
192102,875,-137
192202,939,-73
192302,1144,132
192402,1046,34
192502,826,-186
192602,917,-95
192702,798,-214
192802,989,-23
192902,1183,171
193002,744,-268
193102,827,-185
193202,794,-218
193302,1009,-3
193402,1204,192
193502,951,-61
193602,1266,254
193702,1012,0
193802,796,-216
193902,988,-24
194002,1004,-8
194102,1104,92
194202,1097,85
194302,946,-66
194402,923,-89
194502,971,-41
194602,925,-87
194702,1207,195
194802,1008,-4
194902,900,-112
195002,993,-19
195102,1009,-3
195202,878,-134
195302,865,-147
195402,753,-259
195502,978,-34
195602,936,-76
195702,847,-165
195802,1195,183
195902,985,-27
196002,1057,45
196102,885,-127
196202,1013,1
196302,1239,227
196402,1042,30
196502,1047,35
196602,1018,6
196702,1136,124
196802,1132,120
196902,983,-29
197002,1060,48
197102,1035,23
197202,1068,56
197302,984,-28
197402,993,-19
197502,979,-33
197602,785,-227
197702,1070,58
197802,1413,401
197902,1353,341
198002,1194,182
198102,965,-47
198202,1132,120
198302,883,-129
198402,819,-193
198502,1142,130
198602,994,-18
198702,884,-128
198802,1087,75
198902,1102,90
199002,813,-199
199102,877,-135
199202,796,-216
199302,1093,81
199402,1059,47
199502,1013,1
199602,984,-28
199702,863,-149
199802,724,-288
199902,815,-197
200002,811,-201
200102,899,-113
200202,842,-170
200302,1115,103
200402,997,-15
200502,860,-152
200602,943,-69
200702,1281,269
200802,1050,38
200902,935,-77
201002,1110,98
201102,969,-43
201202,842,-170
201302,988,-24
201402,1227,215
201502,1298,286
