Nebraska, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,316,-159
189604,368,-107
189704,523,48
189804,510,35
189904,498,23
190004,406,-69
190104,492,17
190204,490,15
190304,455,-20
190404,605,130
190504,542,67
190604,381,-94
190704,702,227
190804,406,-69
190904,617,142
191004,375,-100
191104,509,34
191204,465,-10
191304,434,-41
191404,470,-5
191504,304,-171
191604,528,53
191704,577,102
191804,620,145
191904,543,68
192004,718,243
192104,431,-44
192204,459,-16
192304,494,19
192404,434,-41
192504,281,-194
192604,517,42
192704,471,-4
192804,575,100
192904,437,-38
193004,369,-106
193104,444,-31
193204,389,-86
193304,486,11
193404,390,-85
193504,566,91
193604,538,63
193704,505,30
193804,426,-49
193904,465,-10
194004,501,26
194104,409,-66
194204,343,-132
194304,392,-83
194404,652,177
194504,551,76
194604,297,-178
194704,566,91
194804,304,-171
194904,446,-29
195004,621,146
195104,607,132
195204,504,29
195304,623,148
195404,373,-102
195504,286,-189
195604,592,117
195704,538,63
195804,521,46
195904,488,13
196004,418,-57
196104,591,116
196204,458,-17
196304,385,-90
196404,448,-27
196504,419,-56
196604,597,122
196704,406,-69
196804,460,-15
196904,414,-61
197004,472,-3
197104,425,-50
197204,485,10
197304,511,36
197404,410,-65
197504,557,82
197604,374,-101
197704,310,-165
197804,451,-24
197904,520,45
198004,441,-34
198104,249,-226
198204,545,70
198304,660,185
198404,577,102
198504,341,-134
198604,413,-62
198704,362,-113
198804,458,-17
198904,362,-113
199004,471,-4
199104,384,-91
199204,478,3
199304,547,72
199404,458,-17
199504,579,104
199604,495,20
199704,627,152
199804,475,0
199904,463,-12
200004,441,-34
200104,371,-104
200204,408,-67
200304,395,-80
200404,388,-87
200504,380,-95
200604,311,-164
200704,501,26
200804,581,106
200904,518,43
201004,330,-145
201104,466,-9
201204,307,-168
201304,617,142
201404,449,-26
201504,396,-79
