Maryland, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1126,110
189601,1055,39
189701,1127,111
189801,942,-74
189901,1053,37
190001,991,-25
190101,1009,-7
190201,1108,92
190301,1058,42
190401,1244,228
190501,1160,144
190601,847,-169
190701,957,-59
190801,1024,8
190901,976,-40
191001,1062,46
191101,913,-103
191201,1301,285
191301,758,-258
191401,940,-76
191501,992,-24
191601,870,-146
191701,1019,3
191801,1375,359
191901,935,-81
192001,1198,182
192101,951,-65
192201,1117,101
192301,970,-46
192401,1000,-16
192501,1099,83
192601,1051,35
192701,1039,23
192801,979,-37
192901,1023,7
193001,993,-23
193101,971,-45
193201,660,-356
193301,771,-245
193401,886,-130
193501,1083,67
193601,1166,150
193701,744,-272
193801,1002,-14
193901,960,-56
194001,1347,331
194101,1053,37
194201,1034,18
194301,1001,-15
194401,960,-56
194501,1164,148
194601,965,-51
194701,822,-194
194801,1212,196
194901,786,-230
195001,662,-354
195101,917,-99
195201,863,-153
195301,840,-176
195401,1005,-11
195501,1038,22
195601,1047,31
195701,1098,82
195801,1055,39
195901,1056,40
196001,942,-74
196101,1203,187
196201,1031,15
196301,1131,115
196401,987,-29
196501,1071,55
196601,1114,98
196701,864,-152
196801,1154,138
196901,1081,65
197001,1223,207
197101,1153,137
197201,924,-92
197301,943,-73
197401,848,-168
197501,890,-126
197601,1120,104
197701,1361,345
197801,1176,160
197901,1069,53
198001,1020,4
198101,1184,168
198201,1240,224
198301,976,-40
198401,1164,148
198501,1146,130
198601,1013,-3
198701,1045,29
198801,1162,146
198901,876,-140
199001,758,-258
199101,951,-65
199201,931,-85
199301,875,-141
199401,1226,210
199501,882,-134
199601,1080,64
199701,991,-25
199801,769,-247
199901,913,-103
200001,1007,-9
200101,1024,8
200201,809,-207
200301,1132,116
200401,1160,144
200501,973,-43
200601,743,-273
200701,828,-188
200801,907,-109
200901,1117,101
201001,1009,-7
201101,1099,83
201201,860,-156
201301,893,-123
201401,1168,152
201501,1074,58
