Missouri, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1297,163
189601,1043,-91
189701,1190,56
189801,1001,-133
189901,1128,-6
190001,997,-137
190101,992,-142
190201,1131,-3
190301,1102,-32
190401,1246,112
190501,1385,251
190601,1004,-130
190701,1000,-134
190801,1045,-89
190901,1073,-61
191001,1101,-33
191101,999,-135
191201,1492,358
191301,1077,-57
191401,923,-211
191501,1211,77
191601,1112,-22
191701,1065,-69
191801,1575,441
191901,1017,-117
192001,1197,63
192101,915,-219
192201,1178,44
192301,878,-256
192401,1300,166
192501,1148,14
192601,1067,-67
192701,1121,-13
192801,1047,-87
192901,1307,173
193001,1437,303
193101,958,-176
193201,946,-188
193301,790,-344
193401,951,-183
193501,1056,-78
193601,1352,218
193701,1223,89
193801,1062,-72
193901,882,-252
194001,1620,486
194101,1023,-111
194201,1110,-24
194301,1137,3
194401,986,-148
194501,1168,34
194601,1045,-89
194701,1010,-124
194801,1289,155
194901,1151,17
195001,999,-135
195101,1085,-49
195201,984,-150
195301,1001,-133
195401,1107,-27
195501,1078,-56
195601,1170,36
195701,1249,115
195801,1108,-26
195901,1254,120
196001,1084,-50
196101,1154,20
196201,1315,181
196301,1401,267
196401,971,-163
196501,1064,-70
196601,1255,121
196701,1009,-125
196801,1164,30
196901,1184,50
197001,1318,184
197101,1219,85
197201,1148,14
197301,1112,-22
197401,1162,28
197501,1022,-112
197601,1154,20
197701,1564,430
197801,1439,305
197901,1553,419
198001,1087,-47
198101,1085,-49
198201,1359,225
198301,1050,-84
198401,1192,58
198501,1371,237
198601,980,-154
198701,1094,-40
198801,1177,43
198901,840,-294
199001,813,-321
199101,1224,90
199201,931,-203
199301,1128,-6
199401,1239,105
199501,1146,12
199601,1187,53
199701,1233,99
199801,948,-186
199901,1107,-27
200001,1018,-116
200101,1128,-6
200201,940,-194
200301,1189,55
200401,1126,-8
200501,1022,-112
200601,761,-373
200701,1055,-79
200801,1084,-50
200901,1189,55
201001,1261,127
201101,1226,92
201201,917,-217
201301,995,-139
201401,1245,111
201501,1075,-59
