Massachusetts, Heating Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,25,-3
189608,20,-8
189708,46,18
189808,12,-16
189908,35,7
190008,15,-13
190108,18,-10
190208,63,35
190308,117,89
190408,53,25
190508,54,26
190608,10,-18
190708,46,18
190808,47,19
190908,47,19
191008,51,23
191108,36,8
191208,61,33
191308,31,3
191408,29,1
191508,52,24
191608,19,-9
191708,10,-18
191808,18,-10
191908,62,34
192008,12,-16
192108,53,25
192208,34,6
192308,55,27
192408,28,0
192508,30,2
192608,27,-1
192708,73,45
192808,8,-20
192908,49,21
193008,35,7
193108,17,-11
193208,15,-13
193308,23,-5
193408,55,27
193508,19,-9
193608,22,-6
193708,3,-25
193808,7,-21
193908,4,-24
194008,54,26
194108,36,8
194208,29,1
194308,26,-2
194408,5,-23
194508,29,1
194608,62,34
194708,8,-20
194808,10,-18
194908,5,-23
195008,29,1
195108,30,2
195208,17,-11
195308,25,-3
195408,48,20
195508,4,-24
195608,24,-4
195708,50,22
195808,22,-6
195908,7,-21
196008,21,-7
196108,19,-9
196208,36,8
196308,40,12
196408,84,56
196508,19,-9
196608,18,-10
196708,20,-8
196808,28,0
196908,6,-22
197008,11,-17
197108,15,-13
197208,28,0
197308,3,-25
197408,15,-13
197508,17,-11
197608,26,-2
197708,15,-13
197808,14,-14
197908,21,-7
198008,6,-22
198108,24,-4
198208,47,19
198308,11,-17
198408,7,-21
198508,24,-4
198608,39,11
198708,35,7
198808,3,-25
198908,18,-10
199008,7,-21
199108,7,-21
199208,33,5
199308,9,-19
199408,25,-3
199508,13,-15
199608,13,-15
199708,22,-6
199808,8,-20
199908,15,-13
200008,28,0
200108,0,-28
200208,3,-25
200308,4,-24
200408,13,-15
200508,0,-28
200608,17,-11
200708,11,-17
200808,26,-2
200908,4,-24
201008,8,-20
201108,7,-21
201208,3,-25
201308,19,-9
201408,26,-2
201508,4,-24
