Washington, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,701,-47
189602,673,-75
189702,761,13
189802,664,-84
189902,865,117
190002,770,22
190102,768,20
190202,669,-79
190302,852,104
190402,823,75
190502,770,22
190602,700,-48
190702,756,8
190802,778,30
190902,744,-4
191002,898,150
191102,842,94
191202,703,-45
191302,869,121
191402,759,11
191502,676,-72
191602,785,37
191702,830,82
191802,813,65
191902,779,31
192002,778,30
192102,727,-21
192202,884,136
192302,905,157
192402,621,-127
192502,648,-100
192602,629,-119
192702,729,-19
192802,741,-7
192902,986,238
193002,698,-50
193102,721,-27
193202,814,66
193302,924,176
193402,613,-135
193502,697,-51
193602,1038,290
193702,843,95
193802,741,-7
193902,837,89
194002,672,-76
194102,641,-107
194202,743,-5
194302,716,-32
194402,760,12
194502,708,-40
194602,735,-13
194702,683,-65
194802,828,80
194902,885,137
195002,807,59
195102,768,20
195202,760,12
195302,711,-37
195402,707,-41
195502,825,77
195602,935,187
195702,825,77
195802,568,-180
195902,774,26
196002,748,0
196102,642,-106
196202,715,-33
196302,601,-147
196402,750,2
196502,725,-23
196602,727,-21
196702,685,-63
196802,629,-119
196902,810,62
197002,647,-101
197102,740,-8
197202,773,25
197302,708,-40
197402,715,-33
197502,806,58
197602,761,13
197702,631,-117
197802,666,-82
197902,790,42
198002,713,-35
198102,690,-58
198202,755,7
198302,626,-122
198402,677,-71
198502,843,95
198602,739,-9
198702,644,-104
198802,683,-65
198902,949,201
199002,804,56
199102,576,-172
199202,596,-152
199302,805,57
199402,795,47
199502,652,-96
199602,754,6
199702,722,-26
199802,631,-117
199902,709,-39
200002,699,-49
200102,778,30
200202,728,-20
200302,716,-32
200402,684,-64
200502,713,-35
200602,761,13
200702,685,-63
200802,701,-47
200902,761,13
201002,619,-129
201102,818,70
201202,715,-33
201302,700,-48
201402,828,80
201502,562,-186
