South Carolina, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,434,61
189603,434,61
189703,325,-48
189803,255,-118
189903,361,-12
190003,450,77
190103,413,40
190203,391,18
190303,229,-144
190403,338,-35
190503,288,-85
190603,465,92
190703,191,-182
190803,209,-164
190903,396,23
191003,248,-125
191103,389,16
191203,430,57
191303,332,-41
191403,519,146
191503,642,269
191603,417,44
191703,383,10
191803,253,-120
191903,324,-49
192003,451,78
192103,184,-189
192203,345,-28
192303,328,-45
192403,477,104
192503,322,-51
192603,564,191
192703,342,-31
192803,376,3
192903,283,-90
193003,479,106
193103,527,154
193203,451,78
193303,373,0
193403,437,64
193503,237,-136
193603,311,-62
193703,433,60
193803,227,-146
193903,287,-86
194003,454,81
194103,552,179
194203,360,-13
194303,429,56
194403,384,11
194503,163,-210
194603,226,-147
194703,590,217
194803,287,-86
194903,365,-8
195003,456,83
195103,368,-5
195203,389,16
195303,334,-39
195403,387,14
195503,297,-76
195603,385,12
195703,417,44
195803,514,141
195903,439,66
196003,715,342
196103,295,-78
196203,483,110
196303,290,-83
196403,386,13
196503,452,79
196603,445,72
196703,291,-82
196803,388,15
196903,530,157
197003,374,1
197103,509,136
197203,368,-5
197303,266,-107
197403,253,-120
197503,405,32
197603,246,-127
197703,282,-91
197803,436,63
197903,329,-44
198003,454,81
198103,454,81
198203,308,-65
198303,384,11
198403,380,7
198503,299,-74
198603,349,-24
198703,389,16
198803,368,-5
198903,323,-50
199003,266,-107
199103,295,-78
199203,382,9
199303,450,77
199403,291,-82
199503,290,-83
199603,474,101
199703,205,-168
199803,401,28
199903,440,67
200003,263,-110
200103,413,40
200203,315,-58
200303,285,-88
200403,278,-95
200503,408,35
200603,349,-24
200703,246,-127
200803,346,-27
200903,359,-14
201003,412,39
201103,316,-57
201203,152,-221
201303,523,150
201403,473,100
201503,302,-71
