Pennsylvania, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1294,266
189602,1029,1
189702,996,-32
189802,1021,-7
189902,1219,191
190002,1090,62
190102,1232,204
190202,1182,154
190302,993,-35
190402,1232,204
190502,1275,247
190602,1063,35
190702,1233,205
190802,1147,119
190902,844,-184
191002,1093,65
191102,1003,-25
191202,1170,142
191302,1062,34
191402,1233,205
191502,916,-112
191602,1128,100
191702,1114,86
191802,1062,34
191902,948,-80
192002,1119,91
192102,937,-91
192202,941,-87
192302,1157,129
192402,1097,69
192502,871,-157
192602,1054,26
192702,882,-146
192802,1011,-17
192902,1067,39
193002,884,-144
193102,961,-67
193202,870,-158
193302,987,-41
193402,1353,325
193502,1059,31
193602,1257,229
193702,976,-52
193802,904,-124
193902,911,-117
194002,1033,5
194102,1109,81
194202,1108,80
194302,1000,-28
194402,1005,-23
194502,1016,-12
194602,1007,-21
194702,1162,134
194802,1063,35
194902,857,-171
195002,1012,-16
195102,963,-65
195202,913,-115
195302,877,-151
195402,832,-196
195502,1007,-21
195602,930,-98
195702,899,-129
195802,1190,162
195902,1018,-10
196002,968,-60
196102,972,-56
196202,1071,43
196302,1240,212
196402,1098,70
196502,1030,2
196602,1038,10
196702,1138,110
196802,1133,105
196902,1027,-1
197002,1054,26
197102,1000,-28
197202,1111,83
197302,1045,17
197402,1029,1
197502,968,-60
197602,827,-201
197702,1033,5
197802,1285,257
197902,1307,279
198002,1121,93
198102,904,-124
198202,1007,-21
198302,964,-64
198402,832,-196
198502,999,-29
198602,1039,11
198702,1024,-4
198802,1011,-17
198902,1002,-26
199002,818,-210
199102,858,-170
199202,906,-122
199302,1104,76
199402,1098,70
199502,1096,68
199602,1012,-16
199702,842,-186
199802,774,-254
199902,889,-139
200002,900,-128
200102,894,-134
200202,826,-202
200302,1108,80
200402,996,-32
200502,929,-99
200602,942,-86
200702,1187,159
200802,971,-57
200902,933,-95
201002,1050,22
201102,953,-75
201202,817,-211
201302,998,-30
201402,1120,92
201502,1298,270
